solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot
1636148068921376768,Gaia DR3 5005399073382715264,5005399073382715264,253389971,2016.0,9.47669531026873,18.75117301940918,-33.88508734085661,7.225358009338379,,,,,,,,,-0.28798678517341614,,,,,,,,,,82,0,81,1,16.04944610595703,492.9486083984375,42.02311706542969,31.94650650024414,3,False,,,,,,,,,10,9,103.14225769042969,10,0,1,0.896796464920044,150.6106414794922,8,0,,0.33772072196006775,0.6471800804138184,0.23916411399841309,0.5606201887130737,-20.63665008544922,0.5379977226257324,6.650853633880615,-0.39839887619018555,False,73,48.60748078168588,3.3424246311187744,14.542580604553223,21.470609664916992,9,194.58544131420084,15.159955978393555,12.835488319396973,19.615766525268555,9,264.71779969675146,21.746761322021484,12.172745704650879,18.690937042236328,9.44922924041748,0,0,0,0,0,0.9248294830322266,-1.8548431396484375,2.779672622680664,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,325.42231297775396,-82.6427961777344,353.28770467937085,-34.464268345149364,False,True,0,False,False,False,False,False,False,False,False,0.004520502407103777,0.00505049480125308,0.9896817207336426,,,,,,,,,,,,,,,,,,,,,,
1636148068921376768,Gaia DR3 5005445910000657152,5005445910000657152,741031482,2016.0,9.45342166621448,0.95686274766922,-33.89490552411195,0.8583168387413025,-0.3714743381302246,1.3311876058578491,-0.27905482053756714,16.93446922302246,2.232030823610005,1.0609703063964844,-16.786729660370476,1.3749616146087646,-0.19378209114074707,0.3592311143875122,0.6121954917907715,0.038046739995479584,-0.1888904869556427,-0.1486511081457138,0.08770047128200531,0.20607060194015503,0.08744269609451294,0.17813120782375336,168,0,168,0,0.3660812973976135,174.54139709472656,0.0,0.0,95,False,,2.063091516494751,0.27442654967308044,-0.1219121590256691,0.12661804258823395,0.31529924273490906,-0.08891475945711136,0.11847665905952454,19,13,1.9575272798538208,19,3,0,0.030712923035025597,94.36259460449219,0,0,1.0183358192443848,0.3539177179336548,0.2410123646259308,0.17465490102767944,0.4855314791202545,-29.413049697875977,14.327424049377441,27.792949676513672,15.859530448913574,False,157,90.78882569046853,0.9823664426803589,92.41849517822266,20.792285919189453,12,61.961342701019376,13.290508270263672,4.662074565887451,20.858240127563477,15,76.64103209276684,10.607933044433594,7.224878787994385,20.036741256713867,1.5266457796096802,0,0,0,0,0,0.8214988708496094,0.06595420837402344,0.7555446624755859,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,325.52821340662376,-82.62590463135616,353.2614286369846,-34.463709476069376,False,False,0,False,False,False,False,False,False,False,False,2.0443973625106082e-08,2.7695207904798735e-07,0.9999974966049194,,,,,,,,,,,,,,,,,,,,,,
1636148068921376768,Gaia DR3 5005460268076369280,5005460268076369280,238169052,2016.0,8.964228551810983,2.0780179500579834,-33.74504395027015,1.2440074682235718,2.239703349830913,2.650031089782715,0.8451611399650574,8.513004302978516,8.366981168607248,1.8251900672912598,-1.5699917237390406,1.3305996656417847,0.19635137915611267,0.678780734539032,0.7474545836448669,-0.045037269592285156,0.5710597634315491,-0.09168630093336105,0.2985375225543976,0.28837087750434875,0.27892908453941345,-0.1086142435669899,110,0,109,1,-2.082429885864258,92.32441711425781,0.0,0.0,95,False,,1.051424264907837,0.301838755607605,-0.3076834976673126,0.10417888313531876,-0.2623424828052521,-0.09698156267404556,0.21312831342220306,13,10,3.24056339263916,13,1,0,0.15160830318927765,146.44285583496094,0,0,0.8554035425186157,0.6029229164123535,0.2695425748825073,0.5598344206809998,0.6348083019256592,-22.491628646850586,4.096247673034668,19.778488159179688,3.8417258262634277,False,98,87.05621924922733,1.1345769166946411,76.73011016845703,20.837867736816406,10,48.30613283294618,10.86127758026123,4.4475555419921875,21.128536224365234,10,54.592452376335224,10.600266456604004,5.150101661682129,20.40506362915039,1.1819785833358765,0,0,0,0,1,0.7234725952148438,0.2906684875488281,0.4328041076660156,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,328.8758257213525,-82.58147789628407,352.9148045331997,-34.138683517513655,False,False,0,False,False,False,False,False,False,False,False,7.990090671228245e-05,3.271822279771186e-08,0.999919056892395,,,,,,,,,,,,,,,,,,,,,,
1636148068921376768,Gaia DR3 5005461371883326976,5005461371883326976,908742629,2016.0,9.181110562961518,0.02414640225470066,-33.786581206651796,0.018430672585964203,1.6638025045322362,0.03218816965818405,51.689876556396484,9.533832550048828,6.265167168349915,0.02463364787399769,-7.18621183350032,0.03021894581615925,-0.04762137681245804,0.517446756362915,0.21060605347156525,-0.1271943300962448,-0.0862627774477005,0.006621156819164753,0.2381943315267563,0.02445116825401783,-0.2430252730846405,0.17784535884857178,323,0,320,3,-0.8976843357086182,302.9493713378906,0.0,0.0,31,False,1.4775041341781616,,,,,,,,37,18,0.043605707585811615,44,8,0,0.024114269763231277,74.0844955444336,0,0,0.96340411901474,0.4548342823982239,0.14624984562397003,0.30052122473716736,0.5248031616210938,-38.226707458496094,1.396708369255066,28.869529724121094,11.26222038269043,False,358,15969.525584982795,4.3378119468688965,3681.47021484375,15.179137229919434,42,7244.898289017118,19.10620880126953,379.1907958984375,15.688461303710938,39,12364.611784098191,13.636236190795898,906.7466430664062,14.517444610595703,1.2279331684112549,1,0,0,1,0,1.1710166931152344,0.5093240737915039,0.6616926193237305,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,327.48233942376544,-82.62685652371819,353.08279237449085,-34.26086482071719,False,False,0,True,False,False,False,False,True,True,False,1.0371756486429393e-13,5.180681729964609e-13,0.9998321533203125,4760.3515625,4757.0830078125,4765.12548828125,4.596499919891357,4.589900016784668,4.604000091552734,-0.06599999964237213,-0.07760000228881836,-0.05460000038146973,563.1868896484375,559.7100830078125,566.7813720703125,0.003700000001117587,0.0010000000474974513,0.00930000003427267,0.002899999963119626,0.000699999975040555,0.007300000172108412,0.001500000013038516,0.00039999998989515007,0.0038999998942017555,MARCS
1636148068921376768,Gaia DR3 5005462673258056960,5005462673258056960,67988330,2016.0,9.129872692507593,8.30136775970459,-33.73002432631001,4.383110046386719,,,,,,,,,-0.36677518486976624,,,,,,,,,,126,0,126,0,16.233732223510742,588.0542602539062,26.027009963989258,23.065710067749023,3,False,,,,,,,,,15,10,14.988333702087402,17,1,0,0.3499631881713867,42.82004165649414,0,0,,0.5126495361328125,0.3593927025794983,0.46672606468200684,0.5214778780937195,-16.701580047607422,14.50418758392334,24.185163497924805,11.740792274475098,False,112,50.31993283314459,1.4430663585662842,34.870147705078125,21.433015823364258,14,70.7504848616768,16.792110443115234,4.213316917419434,20.714218139648438,15,197.7194968623676,12.470954895019531,15.854398727416992,19.00777244567871,5.335261344909668,0,0,0,0,0,1.7064456939697266,-0.7187976837158203,2.425243377685547,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,327.977868431631,-82.65826648777548,353.0699422186513,-34.19086171958783,False,False,0,False,False,False,False,False,False,False,False,0.00010353876132285222,0.00020403727830853313,0.9980365633964539,,,,,,,,,,,,,,,,,,,,,,
1636148068921376768,Gaia DR3 5005463124229586944,5005463124229586944,977463210,2016.0,9.2386397878883,7.181000709533691,-33.73303616341087,3.142038106918335,,,,,,,,,-0.8164244294166565,,,,,,,,,,71,0,70,1,-0.5387568473815918,58.42557907104492,0.0,0.0,3,False,,,,,,,,,8,6,12.423949241638184,8,1,0,0.11173060536384583,48.4787712097168,0,0,,0.5041906237602234,0.37271228432655334,0.3989284932613373,0.4605579376220703,-20.74428367614746,25.890850067138672,24.339370727539062,16.964916229248047,False,69,79.14408924116653,1.53769052028656,51.469451904296875,20.941320419311523,5,79.37520492204773,12.19255256652832,6.510138511657715,20.589330673217773,8,61.111828704889746,13.637598991394043,4.481128215789795,20.282583236694336,1.7750792503356934,0,0,0,0,0,0.3067474365234375,-0.35198974609375,0.6587371826171875,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,327.33265941305746,-82.69605982107116,353.1644792116874,-34.236465581653825,False,False,0,False,False,False,False,False,False,False,False,0.012185017578303814,0.00020456677884794772,0.9861247539520264,,,,,,,,,,,,,,,,,,,,,,
1636148068921376768,Gaia DR3 5005464155021799552,5005464155021799552,434187544,2016.0,9.20117274725876,3.1950063705444336,-33.702560211647835,1.501047134399414,,,,,,,,,-0.40429940819740295,,,,,,,,,,71,0,70,1,1.0394517183303833,76.8387222290039,3.0676112174987793,1.5701565742492676,3,False,,,,,,,,,8,6,10.34266471862793,9,1,0,0.2102823555469513,52.79237747192383,0,0,,0.46672141551971436,0.4217061698436737,0.6679226160049438,0.6368989944458008,-7.717796325683594,20.503786087036133,27.820148468017578,10.956137657165527,False,68,76.9040410641414,1.2595384120941162,61.05731964111328,20.97249412536621,5,24.601450342642135,4.216610431671143,5.834414005279541,21.861141204833984,9,120.28030509932698,14.539414405822754,8.272706031799316,19.547409057617188,1.8839290142059326,0,0,0,0,0,2.313732147216797,0.8886470794677734,1.4250850677490234,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,327.6591327596321,-82.70949315854827,353.14881051937635,-34.194846798908856,False,False,0,False,False,False,False,False,False,False,False,1.0200879842159338e-05,7.449648819601862e-06,0.9995344877243042,,,,,,,,,,,,,,,,,,,,,,
1636148068921376768,Gaia DR3 5005464425605126016,5005464425605126016,1677584622,2016.0,9.190380477714646,0.3070603013038635,-33.678527479921925,0.2433268129825592,0.9547518697230133,0.3837028741836548,2.4882583618164062,13.889503479003906,7.190716217330333,0.37981829047203064,-11.883261656682844,0.37889933586120605,0.04020438715815544,0.3030613362789154,-0.2778242528438568,-0.020681053400039673,0.12550824880599976,0.1107393130660057,0.12832225859165192,0.07346206158399582,-0.13954849541187286,0.19997872412204742,263,0,261,2,2.4551632404327393,330.3243103027344,1.0584230422973633,1.8738394975662231,31,False,1.4818087816238403,,,,,,,,30,16,0.5802258253097534,38,9,2,0.032643139362335205,68.96973419189453,0,0,1.1090949773788452,0.4545893371105194,0.3110659718513489,0.24786372482776642,0.4975975751876831,-12.607965469360352,4.101476669311523,16.553356170654297,11.68039608001709,False,308,291.69301428617393,0.868111789226532,336.0085754394531,19.52505111694336,34,147.8949734656268,7.962549209594727,18.573822021484375,19.913658142089844,33,212.57512140398566,6.709610939025879,31.68218231201172,18.929115295410156,1.2357858419418335,0,0,0,0,0,0.9845428466796875,0.3886070251464844,0.5959358215332031,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,327.80752167985503,-82.72694192808855,353.15304589581797,-34.169431639693016,False,False,0,False,False,False,False,False,False,False,False,3.7602475799758395e-07,4.103161245438969e-06,0.9999851584434509,,,,,,,,,,,,,,,,,,,,,,
1636148068921376768,Gaia DR3 5005465735570098176,5005465735570098176,662398138,2016.0,9.079234976114861,0.035882618278265,-33.71552371570016,0.03105134330689907,0.5748096629969706,0.04856745898723602,11.835284233093262,21.24150276184082,3.8563145508057377,0.03916487097740173,-20.888520598889574,0.049543410539627075,0.1378803551197052,0.4949578642845154,0.15432849526405334,0.018919851630926132,0.12394940853118896,0.0764860138297081,0.29237088561058044,0.04780161380767822,-0.01496210042387247,0.29483678936958313,299,0,296,3,0.043176714330911636,304.1596374511719,0.0,0.0,31,False,1.5400269031524658,,,,,,,,34,17,0.07285652309656143,42,8,0,0.01462622545659542,69.26468658447266,0,0,1.000644326210022,0.5010422468185425,0.10547642409801483,0.33552539348602295,0.5549142956733704,-32.29668426513672,-24.88391876220703,26.402427673339844,9.86868667602539,False,334,6709.258450961962,2.9749772548675537,2255.230224609375,16.12067985534668,39,3486.284266798706,11.855774879455566,294.0578918457031,16.482635498046875,35,4593.798102040139,16.13726043701172,284.6702575683594,15.5924654006958,1.2043182849884033,1,0,0,1,0,0.8901700973510742,0.3619556427001953,0.5282144546508789,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,328.32279792089025,-82.65197067498755,353.0334581470207,-34.15810475339736,False,False,0,True,False,False,False,False,True,True,False,1.0258483109206254e-13,5.124526020541809e-13,0.9999443292617798,5527.96337890625,5427.9736328125,5679.8369140625,4.558800220489502,4.4045000076293945,4.622600078582764,-0.3440000116825104,-0.5027999877929688,-0.15440000593662262,1333.2381591796875,1192.1197509765625,1690.10009765625,0.0729999989271164,0.005100000184029341,0.16910000145435333,0.060499999672174454,0.00419999985024333,0.14090000092983246,0.032600000500679016,0.002300000051036477,0.0754999965429306,MARCS
1636148068921376768,Gaia DR3 5005468690507596288,5005468690507596288,1644128416,2016.0,9.077605146413992,0.042359981685876846,-33.610779434816834,0.036768753081560135,0.803974812356386,0.05249715596437454,15.31463623046875,13.618234634399414,12.20039507498822,0.052359938621520996,-6.050344712678138,0.05691644176840782,0.09340889751911163,0.3193860948085785,0.02223411202430725,-0.06133868172764778,0.0012475273106247187,0.02520608901977539,0.23143768310546875,0.019037295132875443,-0.11030658334493637,0.2922745645046234,269,0,268,1,1.462140679359436,310.3081970214844,0.10112571716308594,0.6722803115844727,31,False,1.499824047088623,,,,,,,,31,19,0.08663966506719589,39,8,0,0.016969123855233192,49.902278900146484,0,0,1.0631312131881714,0.35237520933151245,0.1766081601381302,0.15871743857860565,0.5480195879936218,-33.88865661621094,-16.617761611938477,20.591691970825195,8.371267318725586,False,300,5320.817997662973,2.741446018218994,1940.880126953125,16.372421264648438,35,2541.48130931442,12.605741500854492,201.6129913330078,16.825824737548828,34,3946.601036142763,10.829756736755371,364.42193603515625,15.75733757019043,1.219376802444458,0,1,0,2,0,1.0684871673583984,0.4534034729003906,0.6150836944580078,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,328.7128384648182,-82.74425187024562,353.0920352284915,-34.06525495209217,False,False,0,True,False,False,False,False,True,True,False,1.0304586096085769e-13,5.148321005621348e-13,0.9998986721038818,4952.279296875,4946.69287109375,4957.82861328125,4.498300075531006,4.475599765777588,4.514100074768066,-0.43779999017715454,-0.46889999508857727,-0.4090999960899353,1255.71826171875,1219.9627685546875,1307.1512451171875,0.0015999999595806003,0.0003000000142492354,0.00430000014603138,0.0013000000035390258,0.00019999999494757503,0.0034000000450760126,0.000699999975040555,9.999999747378752e-05,0.0019000000320374966,MARCS
