NUMBER,MAG_AUTO,X_IMAGE,Y_IMAGE,CLASS_STAR,FLUX_RADIUS,RA_deg,Dec_deg,GAIA_RA,GAIA_Dec,GAIA_Rmag,Separation_arcsec
43488,13.139,13278.352,3451.363,0.848,7.420,9.242,-33.503,9.242,-33.503,12.230,0.535
43543,20.855,4022.129,3961.806,0.978,2.016,9.859,-33.474,9.859,-33.474,18.480,0.425
43606,19.443,10393.362,3948.677,0.928,2.019,9.434,-33.476,9.434,-33.476,18.348,0.406
43791,20.712,2564.364,3987.627,0.940,2.055,9.956,-33.473,9.956,-33.473,19.255,0.654
43910,20.531,11459.140,3989.728,0.977,1.973,9.363,-33.473,9.363,-33.473,20.023,0.548
43953,20.397,8022.212,4006.169,0.853,2.568,9.592,-33.472,9.592,-33.472,19.507,0.360
44051,22.147,14253.092,4037.059,0.974,2.037,9.177,-33.470,9.177,-33.470,19.812,0.477
44056,13.253,9387.979,3465.791,0.969,7.755,9.501,-33.502,9.501,-33.503,12.061,0.435
44103,22.091,16768.592,4044.240,0.982,2.009,9.010,-33.469,9.010,-33.469,19.918,0.457
44324,21.601,9730.250,4062.410,0.981,1.971,9.478,-33.469,9.479,-33.469,19.323,0.279
44490,14.810,15624.309,3839.686,0.995,2.857,9.086,-33.481,9.086,-33.481,13.985,0.564
44496,15.868,3453.402,3855.873,0.998,2.064,9.897,-33.480,9.897,-33.480,15.238,0.567
45022,21.235,9118.465,4146.443,0.972,1.960,9.519,-33.465,9.519,-33.465,19.330,0.403
45165,17.630,1970.685,4054.086,0.920,2.184,9.995,-33.469,9.995,-33.469,17.080,0.651
45204,14.041,3143.878,3851.391,0.978,4.606,9.917,-33.480,9.917,-33.480,13.426,0.594
45379,17.492,4318.609,4095.070,0.917,2.140,9.839,-33.467,9.839,-33.467,16.413,0.444
45419,18.503,13879.843,4128.230,0.892,2.164,9.202,-33.465,9.202,-33.465,17.984,0.460
45468,14.725,15269.281,3939.259,0.993,2.963,9.110,-33.475,9.110,-33.476,13.966,0.534
45469,19.024,4017.125,4174.686,0.907,2.101,9.859,-33.463,9.859,-33.463,17.154,0.482
45510,16.957,3905.859,4050.623,0.857,2.174,9.866,-33.469,9.867,-33.469,16.490,0.506
45591,18.195,1682.210,4153.462,0.940,2.145,10.014,-33.463,10.015,-33.463,16.592,0.606
45651,14.143,14731.147,3882.603,0.976,3.986,9.145,-33.479,9.146,-33.479,13.429,0.525
45736,20.852,11227.352,4229.490,0.963,1.941,9.379,-33.460,9.379,-33.460,18.687,0.603
45789,18.057,13982.877,4171.344,0.902,2.129,9.195,-33.463,9.195,-33.463,17.462,0.487
45863,18.401,6840.270,4040.222,0.957,2.684,9.671,-33.470,9.671,-33.470,17.191,0.408
45864,19.699,9808.834,4223.922,0.975,2.025,9.473,-33.460,9.473,-33.460,19.153,0.335
46094,15.345,16466.840,4044.840,0.998,2.453,9.030,-33.469,9.030,-33.469,14.760,0.483
46165,16.036,11881.838,4100.097,0.905,2.006,9.335,-33.467,9.335,-33.467,15.612,0.540
46175,19.674,13367.202,4271.103,0.957,2.025,9.236,-33.457,9.236,-33.457,18.676,0.476
46313,20.401,3604.248,4299.765,0.975,2.012,9.886,-33.456,9.887,-33.456,18.635,0.542
46341,20.797,15104.884,4311.738,0.974,2.125,9.121,-33.455,9.121,-33.455,19.397,0.540
46350,19.957,4383.673,4296.162,0.972,2.042,9.835,-33.456,9.835,-33.456,19.122,0.424
46500,16.335,14559.194,4154.936,0.881,2.220,9.157,-33.464,9.157,-33.464,15.853,0.525
46519,20.395,6489.361,4318.632,0.946,2.031,9.694,-33.455,9.694,-33.455,19.386,0.414
46527,20.452,11359.704,4256.394,0.895,2.226,9.370,-33.458,9.370,-33.459,20.339,0.621
46528,20.441,2936.197,4328.862,0.953,2.069,9.931,-33.454,9.931,-33.454,19.874,0.639
46696,20.094,15926.310,4344.123,0.917,2.191,9.066,-33.453,9.066,-33.453,18.913,0.546
46728,18.858,4066.976,4323.930,0.930,2.128,9.856,-33.454,9.856,-33.454,17.991,0.520
46774,21.266,16863.574,4372.136,0.981,2.088,9.004,-33.451,9.004,-33.451,19.266,0.492
46887,17.606,11383.351,4260.755,0.931,2.058,9.368,-33.458,9.369,-33.458,16.514,0.602
47171,20.019,12137.172,4395.399,0.933,2.026,9.318,-33.451,9.318,-33.451,18.783,0.533
47256,21.222,2164.956,4423.432,0.915,2.781,9.982,-33.448,9.982,-33.448,19.067,0.840
47323,19.470,6795.312,4402.882,0.890,2.092,9.674,-33.450,9.674,-33.450,18.981,0.402
47481,20.281,3202.174,4436.466,0.940,2.064,9.913,-33.448,9.913,-33.448,18.893,0.588
47519,20.008,6745.521,4430.377,0.895,2.083,9.677,-33.449,9.677,-33.449,18.408,0.396
47572,15.646,14298.337,4242.351,0.997,2.168,9.174,-33.459,9.174,-33.459,15.182,0.497
47579,18.783,1770.163,4420.568,0.908,2.133,10.008,-33.448,10.009,-33.448,17.309,0.585
47662,16.955,8139.337,3563.574,0.985,4.175,9.584,-33.497,9.584,-33.497,16.603,0.323
47845,20.921,9755.698,4484.568,0.973,2.022,9.477,-33.446,9.477,-33.446,19.254,0.376
47868,18.719,11537.379,4437.923,0.904,2.037,9.358,-33.448,9.358,-33.448,17.325,0.606
47882,19.336,13507.460,4443.373,0.995,2.097,9.227,-33.448,9.227,-33.448,18.880,0.477
47913,14.015,12528.942,4135.624,0.979,4.586,9.292,-33.465,9.292,-33.465,13.228,0.456
47967,19.788,8161.176,4487.634,0.927,2.032,9.583,-33.446,9.583,-33.446,17.646,0.343
48052,18.236,13083.963,4459.132,0.913,2.089,9.255,-33.447,9.255,-33.447,16.971,0.478
48164,21.180,9835.588,4531.315,0.977,1.979,9.471,-33.443,9.472,-33.443,19.159,0.356
48165,21.111,11728.835,4531.918,0.979,1.921,9.345,-33.443,9.346,-33.443,19.132,0.558
48218,20.100,7504.731,4512.492,0.941,2.112,9.627,-33.444,9.627,-33.444,19.690,0.431
48261,21.267,8962.737,4545.352,0.980,1.892,9.530,-33.442,9.530,-33.442,19.882,0.404
48310,17.330,9009.662,4416.555,0.916,2.112,9.526,-33.450,9.527,-33.450,16.626,0.429
48333,21.872,11744.893,4549.883,0.971,2.084,9.344,-33.442,9.345,-33.442,19.721,0.597
48409,17.821,11372.961,4487.944,0.910,2.062,9.369,-33.446,9.369,-33.446,16.599,0.594
48468,20.412,15151.636,4554.722,0.912,2.183,9.118,-33.441,9.118,-33.441,19.530,0.558
48513,18.980,14904.550,4531.951,0.894,2.150,9.134,-33.443,9.134,-33.443,18.498,0.519
48521,19.872,5523.646,4541.432,0.908,2.065,9.759,-33.442,9.759,-33.442,18.978,0.396
48767,21.037,4065.026,4579.161,0.885,2.507,9.856,-33.440,9.856,-33.440,19.746,0.572
48802,18.481,14196.418,4552.835,0.980,2.163,9.181,-33.442,9.181,-33.442,17.619,0.492
48820,19.708,9618.610,4587.060,0.929,2.023,9.486,-33.440,9.486,-33.440,18.123,0.406
48925,14.074,6096.690,4309.918,0.976,4.880,9.720,-33.455,9.721,-33.455,13.484,0.332
48957,21.172,9002.253,4626.596,0.975,1.940,9.527,-33.438,9.527,-33.438,19.459,0.454
49008,22.143,13397.639,4642.908,0.979,1.959,9.234,-33.437,9.234,-33.437,19.670,0.528
49034,20.174,13735.106,4594.935,0.964,2.050,9.212,-33.439,9.212,-33.439,19.583,0.495
49039,20.673,14189.028,4625.435,0.961,2.046,9.182,-33.438,9.182,-33.438,19.974,0.507
49049,17.747,13680.614,4526.667,0.888,2.080,9.215,-33.443,9.216,-33.443,17.335,0.482
49094,14.895,13538.397,4377.663,0.997,2.925,9.225,-33.451,9.225,-33.452,14.183,0.444
49135,18.384,7078.158,4571.553,0.964,2.247,9.655,-33.441,9.655,-33.441,18.035,0.401
49187,20.108,10330.598,4623.705,0.942,2.034,9.439,-33.438,9.439,-33.438,18.370,0.415
49235,18.263,3082.640,4572.949,0.870,2.130,9.921,-33.440,9.921,-33.440,17.350,0.558
49267,14.514,11625.325,4349.990,0.979,3.419,9.352,-33.453,9.352,-33.453,13.528,0.528
49332,19.860,7678.926,4648.872,0.972,2.046,9.615,-33.437,9.615,-33.437,19.324,0.455
49462,15.822,9835.403,4463.021,0.998,2.103,9.472,-33.447,9.472,-33.447,15.245,0.354
49735,20.658,6185.198,4709.692,0.969,2.064,9.714,-33.433,9.715,-33.433,19.161,0.389
49914,20.437,10156.112,4727.587,0.977,1.987,9.450,-33.432,9.450,-33.432,19.010,0.445
50029,19.094,9971.608,4721.947,0.953,2.022,9.462,-33.433,9.463,-33.433,18.532,0.537
50041,20.439,10505.414,4739.582,0.970,1.983,9.427,-33.432,9.427,-33.432,19.129,0.506
50081,21.277,13146.369,4755.085,0.982,1.918,9.251,-33.431,9.251,-33.431,19.501,0.486
50126,18.084,2271.870,4702.121,0.953,2.096,9.975,-33.433,9.975,-33.433,17.582,0.591
50142,15.307,17089.144,4522.444,0.998,2.467,8.989,-33.443,8.989,-33.443,14.371,0.513
50186,21.408,3646.671,4773.138,0.981,1.962,9.883,-33.429,9.884,-33.429,20.067,0.545
50545,16.010,12837.228,4593.942,0.992,2.011,9.272,-33.440,9.272,-33.440,14.283,0.516
50774,21.084,12191.744,4831.221,0.980,1.988,9.315,-33.426,9.315,-33.427,20.637,0.623
