NUMBER,MAG_AUTO,X_IMAGE,Y_IMAGE,CLASS_STAR,FLUX_RADIUS,RA_deg,Dec_deg,GAIA_RA,GAIA_Dec,GAIA_Rmag,Separation_arcsec
54420,21.361,2290.511,5239.629,0.975,1.998,9.974,-33.403,9.974,-33.403,19.591,0.559
54423,18.033,13278.001,5167.655,0.884,2.080,9.242,-33.408,9.243,-33.408,16.854,0.532
54462,21.323,8916.958,5250.249,0.980,1.982,9.533,-33.403,9.533,-33.403,19.634,0.468
54495,17.969,11800.499,5153.353,0.969,2.044,9.341,-33.409,9.341,-33.409,17.533,0.687
54578,13.725,4060.407,4881.963,0.980,5.482,9.856,-33.423,9.856,-33.423,13.097,0.488
54605,19.607,11255.465,5241.151,0.922,2.034,9.377,-33.404,9.377,-33.404,18.791,0.699
54688,21.269,3105.892,5267.806,0.976,2.076,9.919,-33.402,9.920,-33.402,19.849,0.531
54763,19.572,3857.439,5256.596,0.987,2.085,9.869,-33.402,9.869,-33.402,19.017,0.522
54851,15.746,5160.539,5075.045,0.995,2.198,9.783,-33.413,9.783,-33.413,15.158,0.453
54937,21.537,6857.797,5305.899,0.977,2.018,9.670,-33.400,9.670,-33.400,21.173,0.397
55038,20.516,4060.905,5302.680,0.969,2.080,9.856,-33.400,9.856,-33.400,19.102,0.453
55093,20.030,6147.279,5295.223,0.919,2.064,9.717,-33.401,9.717,-33.401,17.865,0.412
55263,20.896,16927.832,5331.186,0.962,2.200,9.000,-33.398,9.000,-33.398,19.562,0.471
55335,20.842,6842.483,5342.064,0.971,1.997,9.671,-33.398,9.671,-33.398,18.803,0.426
55397,19.478,17100.141,5299.434,0.881,2.260,8.988,-33.399,8.988,-33.400,17.823,0.534
55398,20.813,3564.767,5341.182,0.968,2.086,9.889,-33.398,9.889,-33.398,19.965,0.533
55455,19.721,6816.331,5329.820,0.872,2.081,9.672,-33.399,9.673,-33.399,19.111,0.414
55494,16.550,6277.979,5178.763,0.863,2.218,9.708,-33.407,9.708,-33.407,15.595,0.413
55511,20.245,4366.274,5340.944,0.895,2.169,9.835,-33.398,9.836,-33.398,18.918,0.488
55592,15.863,2068.747,5162.113,0.996,2.089,9.988,-33.407,9.989,-33.407,15.380,0.583
55716,21.093,15375.459,5389.422,0.966,2.106,9.103,-33.395,9.103,-33.395,19.496,0.550
55804,18.302,1745.434,5347.717,0.941,2.153,10.010,-33.397,10.010,-33.397,17.868,0.555
56069,18.008,16580.639,5360.474,0.955,2.259,9.023,-33.396,9.023,-33.396,16.901,0.459
56102,19.721,16821.387,5416.560,0.959,2.213,9.007,-33.393,9.007,-33.393,19.254,0.496
56221,20.944,11535.561,5436.654,0.917,2.355,9.358,-33.393,9.359,-33.393,20.374,0.741
56307,20.504,8800.861,5450.427,0.977,2.003,9.540,-33.392,9.541,-33.392,19.090,0.477
56368,17.764,12561.173,5375.101,0.871,2.147,9.290,-33.396,9.290,-33.396,17.149,0.605
56371,20.715,14953.134,5454.094,0.912,2.703,9.131,-33.391,9.131,-33.392,19.042,0.431
56429,20.599,6327.296,5462.386,0.946,2.073,9.705,-33.391,9.705,-33.391,19.769,0.411
56454,21.682,15630.910,5479.047,0.956,2.245,9.086,-33.390,9.086,-33.390,19.538,0.511
56521,19.528,13615.700,5438.225,0.862,2.145,9.220,-33.393,9.220,-33.393,18.483,0.525
56710,20.251,8306.119,5489.980,0.921,2.732,9.573,-33.390,9.573,-33.390,19.366,0.222
56735,20.931,2963.044,5496.209,0.982,2.073,9.929,-33.389,9.929,-33.389,19.606,0.562
56742,20.615,12048.505,5484.913,0.919,2.401,9.324,-33.390,9.324,-33.390,19.881,0.735
56780,21.875,2186.361,5518.145,0.980,1.953,9.980,-33.388,9.981,-33.388,19.078,0.501
56822,20.485,4738.470,5483.808,0.925,2.195,9.811,-33.390,9.811,-33.390,19.956,0.400
56844,18.246,16952.912,5446.570,0.995,2.267,8.998,-33.391,8.998,-33.391,16.781,0.363
56872,20.340,13345.870,5509.444,0.921,2.088,9.238,-33.389,9.238,-33.389,18.574,0.529
56910,20.628,2353.705,5514.141,0.965,2.103,9.969,-33.388,9.969,-33.388,18.549,0.509
56964,16.748,3345.137,5372.376,0.997,2.210,9.903,-33.396,9.904,-33.396,16.338,0.522
57087,20.949,10058.664,5551.491,0.981,1.925,9.457,-33.387,9.457,-33.387,19.678,0.485
57305,21.139,1824.768,5576.310,0.982,2.011,10.004,-33.384,10.005,-33.384,19.623,0.515
57421,18.770,15518.653,5541.961,0.858,2.249,9.093,-33.386,9.093,-33.387,18.170,0.524
57463,15.693,17102.914,5369.651,0.989,2.385,8.988,-33.396,8.988,-33.396,13.770,0.394
57531,21.968,2282.345,5612.203,0.978,1.846,9.974,-33.382,9.974,-33.382,19.973,0.536
57538,20.884,5373.177,5597.583,0.979,2.021,9.768,-33.384,9.769,-33.384,19.457,0.455
57739,17.756,4129.045,5535.394,0.873,2.141,9.851,-33.387,9.851,-33.387,16.011,0.526
57940,20.898,10621.554,5645.167,0.980,1.933,9.419,-33.381,9.419,-33.381,20.089,0.586
58012,20.350,10594.602,5650.187,0.983,1.924,9.421,-33.381,9.421,-33.381,18.685,0.596
58131,21.335,1819.285,5670.453,0.919,2.299,10.005,-33.379,10.005,-33.379,19.525,0.517
58407,18.762,8705.728,5668.515,0.877,2.038,9.547,-33.380,9.547,-33.380,17.392,0.493
58408,18.548,9050.895,5631.569,0.884,2.059,9.524,-33.382,9.524,-33.382,18.089,0.444
58444,21.645,13005.352,5716.188,0.978,1.817,9.261,-33.377,9.261,-33.377,20.218,0.593
58457,18.307,9561.406,5654.398,0.992,2.036,9.490,-33.381,9.490,-33.381,17.735,0.440
58581,20.143,15060.731,5709.757,0.962,2.052,9.124,-33.377,9.124,-33.377,19.636,0.549
58624,20.274,6319.757,5718.780,0.980,1.980,9.705,-33.377,9.706,-33.377,18.580,0.422
58721,15.136,7838.861,5480.925,0.998,2.593,9.604,-33.390,9.605,-33.390,14.749,0.465
58741,20.732,2333.773,5738.524,0.967,2.003,9.971,-33.375,9.971,-33.375,19.660,0.536
58758,17.984,10184.956,5629.895,0.880,2.516,9.448,-33.382,9.448,-33.382,17.394,0.541
58890,17.117,16268.595,5638.123,0.925,2.204,9.044,-33.381,9.044,-33.381,16.018,0.483
58915,18.041,1836.000,5683.226,0.895,2.114,10.004,-33.378,10.004,-33.378,16.855,0.481
58925,16.954,3636.420,5586.850,0.983,2.215,9.884,-33.384,9.884,-33.384,16.748,0.514
58955,21.507,10850.674,5773.265,0.977,1.814,9.404,-33.374,9.404,-33.374,19.396,0.720
59361,20.225,2029.059,5810.087,0.982,2.015,9.991,-33.371,9.991,-33.371,19.078,0.520
59407,15.713,13062.018,5616.921,0.998,2.177,9.257,-33.383,9.257,-33.383,15.022,0.571
59408,19.693,12458.992,5806.214,0.937,2.010,9.297,-33.372,9.297,-33.372,18.521,0.616
59452,20.434,14590.381,5815.858,0.908,2.228,9.155,-33.371,9.155,-33.372,18.656,0.581
59556,21.138,16336.524,5844.299,0.978,2.043,9.039,-33.369,9.039,-33.370,20.622,0.510
59608,18.888,6257.152,5811.841,0.896,2.084,9.710,-33.372,9.710,-33.372,18.293,0.378
59660,19.679,8390.752,5824.112,0.917,2.071,9.568,-33.371,9.568,-33.371,19.195,0.494
59731,18.014,15782.862,5798.616,0.888,2.176,9.076,-33.372,9.076,-33.372,17.459,0.508
59833,20.739,11319.243,5877.670,0.980,1.929,9.373,-33.368,9.373,-33.369,19.785,0.775
59914,21.191,16807.787,5896.741,0.977,2.077,9.008,-33.366,9.008,-33.366,19.933,0.442
59976,21.584,8158.084,5906.211,0.977,1.891,9.583,-33.367,9.583,-33.367,19.742,0.512
60053,18.276,9461.219,5826.865,0.904,2.021,9.496,-33.371,9.497,-33.371,17.641,0.416
60062,21.081,15655.028,5912.301,0.982,2.063,9.084,-33.366,9.085,-33.366,19.628,0.527
60070,18.993,9640.608,5882.550,0.964,1.989,9.484,-33.368,9.485,-33.368,17.983,0.431
60357,20.573,12096.003,5948.191,0.994,1.949,9.321,-33.364,9.321,-33.365,18.979,0.640
60473,15.996,12545.768,5769.014,0.958,2.062,9.291,-33.374,9.291,-33.374,15.569,0.578
60560,18.876,2811.547,5940.941,0.910,2.038,9.939,-33.364,9.939,-33.364,17.798,0.509
60572,18.468,9447.788,5923.627,0.901,1.996,9.497,-33.366,9.497,-33.366,17.808,0.426
60579,20.740,7878.798,5926.559,0.888,2.459,9.602,-33.366,9.602,-33.366,19.712,0.461
60926,20.227,15604.081,6007.498,0.965,2.123,9.088,-33.361,9.088,-33.361,18.791,0.494
60936,17.444,15043.918,5892.178,0.866,2.153,9.125,-33.367,9.125,-33.367,16.826,0.529
60946,20.897,12760.081,6027.823,0.981,1.908,9.277,-33.360,9.277,-33.360,19.435,0.638
60982,16.058,8838.070,5845.204,0.931,2.063,9.538,-33.370,9.538,-33.370,15.533,0.488
61090,12.902,2054.888,5515.622,0.845,8.233,9.989,-33.388,9.989,-33.388,12.158,0.435
61181,18.388,3609.632,5999.333,0.924,2.054,9.886,-33.361,9.886,-33.361,17.835,0.502
61199,19.112,2794.162,6014.067,0.947,2.022,9.940,-33.360,9.940,-33.360,17.125,0.594
61223,19.473,15159.227,6021.710,0.929,2.059,9.117,-33.360,9.118,-33.360,17.725,0.563
61306,19.097,4136.352,6029.108,0.898,2.044,9.851,-33.360,9.851,-33.360,18.372,0.474
61325,17.284,2981.081,5922.668,0.935,2.108,9.927,-33.365,9.928,-33.365,16.829,0.525
61334,20.978,13876.274,6046.748,0.949,2.079,9.203,-33.359,9.203,-33.359,20.444,0.592
61360,18.074,15843.433,5983.960,0.870,2.188,9.072,-33.362,9.072,-33.362,16.622,0.469
61403,21.755,15528.207,6078.605,0.977,2.045,9.093,-33.357,9.093,-33.357,19.767,0.567
61420,15.348,16876.127,5857.335,0.998,2.490,9.003,-33.369,9.003,-33.369,14.735,0.520
61519,13.962,6989.219,5745.410,0.975,4.610,9.661,-33.376,9.661,-33.376,13.262,0.440
61529,20.183,16924.043,6070.449,0.909,2.146,9.000,-33.357,9.000,-33.357,19.405,0.474
61568,18.212,15274.378,6040.187,0.904,2.157,9.110,-33.359,9.110,-33.359,16.785,0.500
61747,20.336,5283.764,6099.043,0.941,2.060,9.774,-33.356,9.774,-33.356,19.838,0.464
61822,21.803,2370.332,6133.933,0.981,1.918,9.968,-33.353,9.968,-33.353,19.823,0.482
61829,15.624,1835.685,5887.195,0.999,2.241,10.004,-33.367,10.004,-33.367,14.999,0.507
61875,20.560,4045.753,6127.489,0.977,1.937,9.857,-33.354,9.857,-33.354,19.272,0.534
61886,20.948,12901.740,6130.274,0.981,1.891,9.268,-33.354,9.268,-33.354,19.346,0.624
61916,18.334,2631.508,6088.957,0.918,2.013,9.951,-33.356,9.951,-33.356,17.187,0.514
61982,19.537,16383.375,6121.688,0.951,2.081,9.036,-33.354,9.036,-33.354,17.640,0.526
62009,15.508,3923.503,5928.056,0.899,3.062,9.865,-33.365,9.865,-33.365,14.586,0.455
62029,21.419,4557.615,6148.977,0.977,1.916,9.823,-33.353,9.823,-33.353,19.433,0.519
62223,12.074,9872.584,5549.074,0.845,13.436,9.469,-33.387,9.469,-33.387,11.133,0.762
62225,17.161,13747.353,6079.608,0.990,2.036,9.211,-33.357,9.211,-33.357,16.701,0.557
62297,15.691,3370.853,5977.645,0.998,2.150,9.902,-33.362,9.902,-33.362,15.114,0.534
62304,16.853,14388.472,6066.681,0.951,2.098,9.169,-33.357,9.169,-33.358,16.471,0.544
62317,20.496,14768.498,6174.299,0.953,2.053,9.143,-33.351,9.144,-33.352,18.764,0.501
62358,18.347,14238.933,6145.320,0.909,2.057,9.179,-33.353,9.179,-33.353,17.832,0.510
62367,15.102,7947.530,5942.317,0.997,2.605,9.597,-33.365,9.597,-33.365,14.459,0.482
62388,21.328,3968.726,6193.789,0.974,1.991,9.862,-33.350,9.862,-33.350,19.530,0.497
62607,19.695,3682.582,6204.540,0.975,1.967,9.881,-33.350,9.881,-33.350,18.728,0.500
62629,20.134,4554.975,6215.109,0.979,1.939,9.823,-33.349,9.823,-33.349,18.700,0.490
62908,18.984,3269.252,6221.664,0.923,2.037,9.908,-33.349,9.908,-33.349,18.559,0.499
62939,19.222,4042.389,6231.223,0.952,2.003,9.857,-33.348,9.857,-33.348,18.569,0.517
63075,20.021,5097.266,6257.562,0.879,2.109,9.787,-33.347,9.787,-33.347,19.085,0.485
63088,20.082,5400.194,6248.101,0.945,2.034,9.767,-33.348,9.767,-33.348,18.657,0.490
63125,14.488,9159.061,5959.352,0.980,3.488,9.517,-33.364,9.517,-33.364,13.685,0.471
63286,18.617,5268.221,5881.046,0.893,4.168,9.775,-33.368,9.775,-33.368,17.733,0.472
63321,21.941,8363.185,6321.508,0.976,1.887,9.569,-33.344,9.570,-33.344,19.747,0.514
63331,17.007,13191.831,6186.910,0.929,2.064,9.248,-33.351,9.248,-33.351,16.050,0.565
63352,19.209,7737.821,6282.106,0.982,2.015,9.611,-33.346,9.611,-33.346,17.725,0.474
63388,18.682,7014.498,6274.435,0.953,2.065,9.659,-33.346,9.659,-33.346,17.103,0.424
63413,18.276,2229.523,6270.264,0.905,2.057,9.977,-33.346,9.978,-33.346,17.747,0.507
63467,15.346,9461.870,6086.391,0.999,2.401,9.496,-33.357,9.496,-33.357,14.732,0.426
63672,14.226,5255.142,5940.283,0.978,4.019,9.776,-33.365,9.776,-33.365,13.516,0.453
63678,19.354,11344.387,6325.226,0.955,1.937,9.371,-33.343,9.371,-33.344,17.818,0.794
63685,20.086,12531.605,6327.057,0.930,2.022,9.292,-33.343,9.292,-33.343,18.544,0.657
63704,20.364,16658.545,6343.432,0.958,2.070,9.018,-33.342,9.018,-33.342,18.617,0.474
63751,21.817,9567.603,6370.694,0.976,1.899,9.489,-33.341,9.489,-33.341,19.540,0.443
63831,18.931,8958.750,6321.759,0.857,2.129,9.530,-33.344,9.530,-33.344,18.257,0.415
63899,15.967,12020.480,6184.567,0.990,2.007,9.326,-33.351,9.326,-33.351,15.451,0.717
64080,20.857,17120.691,6396.680,0.967,2.159,8.987,-33.339,8.987,-33.339,19.350,0.487
64167,20.317,10454.450,6398.380,0.968,1.903,9.430,-33.339,9.431,-33.340,18.373,0.568
64217,12.056,10251.290,5713.084,0.845,14.111,9.444,-33.378,9.444,-33.377,11.024,0.611
64290,19.944,4229.393,6411.902,0.973,1.949,9.844,-33.338,9.844,-33.338,18.045,0.479
64298,16.908,2429.210,6286.056,0.911,2.147,9.964,-33.345,9.964,-33.345,16.474,0.500
64385,18.863,15038.691,6398.149,0.919,2.112,9.126,-33.339,9.126,-33.339,18.367,0.516
64505,20.997,15737.382,6450.464,0.940,2.044,9.079,-33.336,9.079,-33.336,19.133,0.517
64524,21.512,9606.997,6446.047,0.974,1.857,9.487,-33.337,9.487,-33.337,19.605,0.434
64588,22.429,7516.304,6478.381,0.974,1.854,9.626,-33.335,9.626,-33.335,19.795,0.437
64716,21.683,16514.852,6491.703,0.981,1.996,9.027,-33.333,9.028,-33.334,19.515,0.499
64738,19.246,8329.647,6457.079,0.914,2.028,9.572,-33.336,9.572,-33.336,18.463,0.493
64806,15.017,9034.938,6231.460,0.997,3.005,9.525,-33.349,9.525,-33.349,14.018,0.298
64831,19.895,7992.894,6469.524,0.932,2.018,9.594,-33.336,9.594,-33.336,18.950,0.489
64894,21.284,10957.304,6501.994,0.981,1.895,9.397,-33.334,9.397,-33.334,20.130,0.725
64950,17.397,10323.571,5686.080,0.881,114.975,9.439,-33.379,9.439,-33.379,18.279,0.539
64953,20.064,11034.564,6496.038,0.979,1.926,9.392,-33.334,9.392,-33.334,17.707,0.641
65055,19.465,15507.975,6496.852,0.957,2.104,9.094,-33.333,9.094,-33.333,17.994,0.540
65062,19.023,4344.764,6487.680,0.933,2.009,9.837,-33.334,9.837,-33.334,18.143,0.517
65119,20.014,3119.734,6514.755,0.982,2.000,9.918,-33.332,9.918,-33.332,18.267,0.475
65247,20.776,5147.156,6536.296,0.974,2.022,9.783,-33.332,9.783,-33.332,20.042,0.476
65474,15.536,3204.361,6361.855,0.998,2.265,9.913,-33.341,9.913,-33.341,14.627,0.507
65718,16.360,14863.760,6429.982,0.850,2.241,9.137,-33.337,9.137,-33.337,15.797,0.504
65773,18.832,14902.043,6570.998,0.943,2.115,9.135,-33.329,9.135,-33.329,18.129,0.532
65823,20.176,2367.644,6601.623,0.956,2.014,9.968,-33.327,9.968,-33.327,19.472,0.465
65877,20.029,7193.717,6599.537,0.949,2.003,9.647,-33.328,9.647,-33.328,18.536,0.450
65937,20.183,11898.994,6610.128,0.981,1.979,9.334,-33.328,9.335,-33.328,18.207,0.683
65946,21.895,12625.220,6638.500,0.983,1.919,9.286,-33.326,9.286,-33.326,19.462,0.643
65993,20.624,3691.700,6605.413,0.977,1.955,9.880,-33.327,9.880,-33.327,18.606,0.453
66007,20.240,9184.973,6615.656,0.977,1.989,9.515,-33.327,9.515,-33.328,19.557,0.458
66049,21.228,10982.629,6643.554,0.976,1.925,9.395,-33.326,9.395,-33.326,20.003,0.722
66092,20.374,12810.118,6633.327,0.977,1.987,9.274,-33.326,9.274,-33.326,19.402,0.620
66100,21.070,2574.152,6644.788,0.978,1.965,9.954,-33.325,9.954,-33.325,20.620,0.509
66130,16.962,12612.532,6499.007,0.847,2.134,9.287,-33.334,9.287,-33.334,16.217,0.642
66250,18.313,8108.183,6570.185,0.842,2.110,9.586,-33.330,9.587,-33.330,16.912,0.414
66453,20.506,10435.512,6684.865,0.976,1.946,9.432,-33.324,9.432,-33.324,18.478,0.580
66486,17.480,6708.774,6592.136,0.893,2.129,9.679,-33.329,9.680,-33.329,16.572,0.452
66516,18.991,17001.951,6671.095,0.893,2.231,8.995,-33.323,8.995,-33.323,18.570,0.461
66525,15.991,8974.662,6517.459,0.965,2.056,9.529,-33.333,9.529,-33.333,15.432,0.450
66734,20.330,4339.976,6715.699,0.992,1.997,9.837,-33.321,9.837,-33.321,19.933,0.529
66839,20.690,16619.070,6739.110,0.955,2.194,9.021,-33.320,9.021,-33.320,19.926,0.448
66857,18.271,6776.674,6686.307,0.932,2.045,9.675,-33.323,9.675,-33.323,17.191,0.398
66950,21.763,10941.010,6767.144,0.975,1.837,9.398,-33.319,9.398,-33.319,19.900,0.755
67317,18.593,6698.393,6774.619,0.984,2.113,9.680,-33.318,9.680,-33.319,17.928,0.473
67354,20.378,14231.790,6804.363,0.979,1.983,9.179,-33.317,9.179,-33.317,18.400,0.510
67440,21.245,13863.486,6815.926,0.969,2.081,9.204,-33.316,9.204,-33.316,19.487,0.630
67453,18.340,8614.085,6735.928,0.870,2.118,9.553,-33.321,9.553,-33.321,16.967,0.505
67505,18.596,3292.249,6794.236,0.921,2.065,9.907,-33.317,9.907,-33.317,17.811,0.497
67541,15.332,8046.426,6598.757,0.998,2.402,9.590,-33.328,9.591,-33.328,14.427,0.480
67633,17.232,6499.498,6683.837,0.980,2.797,9.693,-33.324,9.693,-33.324,16.162,0.245
67679,18.059,11954.047,6789.892,0.940,2.060,9.331,-33.318,9.331,-33.318,17.591,0.736
67780,16.735,9727.419,6763.855,0.946,2.088,9.479,-33.319,9.479,-33.319,16.181,0.466
67841,20.902,11819.260,6871.334,0.973,1.996,9.340,-33.313,9.340,-33.313,19.695,0.747
67876,21.220,10546.790,6878.422,0.979,1.910,9.424,-33.313,9.424,-33.313,20.876,0.651
67915,19.537,2002.332,6819.086,0.910,2.085,9.992,-33.315,9.992,-33.315,18.309,0.478
67952,21.611,4733.073,6892.423,0.981,1.991,9.811,-33.312,9.811,-33.312,19.326,0.529
68065,20.788,3419.242,6895.045,0.942,2.074,9.898,-33.311,9.898,-33.311,18.930,0.523
68202,19.797,1575.998,6889.935,0.954,2.096,10.021,-33.311,10.021,-33.311,19.274,0.513
68205,19.221,15893.344,6888.615,0.993,2.098,9.069,-33.312,9.069,-33.312,17.649,0.500
68230,18.258,3265.604,6860.092,0.850,2.113,9.908,-33.313,9.908,-33.313,16.801,0.509
68256,14.266,14583.077,6603.912,0.981,3.929,9.156,-33.328,9.156,-33.328,13.464,0.539
68270,19.620,8691.987,6896.935,0.956,2.064,9.548,-33.312,9.548,-33.312,18.592,0.508
68455,20.682,9225.874,6948.662,0.994,1.959,9.512,-33.309,9.512,-33.309,20.113,0.438
68513,13.057,6833.957,6478.310,0.844,7.487,9.671,-33.335,9.671,-33.335,12.285,0.450
68555,21.161,12471.302,6962.502,0.981,1.900,9.296,-33.308,9.296,-33.308,19.846,0.671
68617,20.033,1844.048,6951.472,0.957,2.063,10.003,-33.308,10.003,-33.308,19.383,0.495
68639,20.434,10503.243,6962.928,0.887,2.555,9.427,-33.308,9.427,-33.308,19.437,0.614
68669,20.928,13181.833,6967.460,0.987,2.019,9.249,-33.308,9.249,-33.308,19.413,0.593
68740,11.920,12796.397,6375.187,0.845,15.202,9.275,-33.341,9.275,-33.341,10.994,0.540
69074,18.793,16928.705,6937.605,0.913,2.196,9.000,-33.309,9.000,-33.309,18.051,0.442
69137,20.731,7809.402,7029.050,0.972,2.006,9.606,-33.304,9.606,-33.304,19.990,0.476
69160,17.812,8846.057,6930.239,0.882,2.115,9.537,-33.310,9.537,-33.310,16.954,0.477
69226,20.911,15468.376,7031.255,0.928,2.215,9.097,-33.304,9.097,-33.304,20.639,0.519
69272,20.576,9722.129,7048.958,0.983,1.957,9.479,-33.303,9.479,-33.303,19.711,0.433
69336,20.655,13258.894,7057.383,0.976,1.968,9.244,-33.303,9.244,-33.303,18.872,0.597
69384,20.478,8923.310,7055.975,0.969,1.999,9.532,-33.303,9.532,-33.303,19.337,0.479
69408,20.068,12272.312,7055.148,0.911,2.084,9.310,-33.303,9.310,-33.303,19.120,0.715
69450,20.808,15276.226,7043.562,0.907,2.481,9.110,-33.303,9.110,-33.303,20.268,0.509
69514,15.076,4594.101,6843.920,0.999,2.618,9.820,-33.314,9.820,-33.314,14.369,0.510
69623,19.322,15886.138,7071.201,0.938,2.136,9.069,-33.301,9.069,-33.301,18.763,0.502
69725,20.393,4612.923,6785.963,0.930,5.321,9.819,-33.318,9.819,-33.318,21.337,0.533
69777,18.910,2074.695,7081.389,0.912,2.103,9.987,-33.301,9.988,-33.301,18.351,0.489
70050,18.963,10642.528,7003.806,0.920,8.472,9.418,-33.306,9.418,-33.306,19.182,0.626
70153,21.454,17016.168,7162.152,0.977,2.115,8.994,-33.296,8.994,-33.296,19.815,0.447
70187,14.013,16782.498,6747.463,0.981,4.565,9.010,-33.319,9.010,-33.319,12.858,0.497
70313,19.941,7052.265,7098.836,0.898,2.269,9.657,-33.301,9.657,-33.301,18.920,0.451
70332,16.433,10995.266,7015.227,0.993,2.165,9.394,-33.305,9.395,-33.305,15.656,0.687
70368,19.920,5597.525,7163.932,0.910,2.086,9.753,-33.297,9.753,-33.297,18.811,0.506
70458,16.858,11556.323,7050.917,0.920,2.051,9.357,-33.303,9.357,-33.303,15.857,0.774
70480,15.021,13630.213,6938.258,0.998,2.679,9.219,-33.309,9.219,-33.309,14.294,0.563
70484,11.694,6115.240,6695.554,0.845,17.085,9.719,-33.323,9.719,-33.323,10.769,0.431
70519,21.105,3791.322,7205.304,0.977,1.983,9.873,-33.294,9.873,-33.294,19.879,0.544
70573,17.749,4990.994,7130.830,0.895,2.130,9.794,-33.298,9.794,-33.299,16.876,0.543
70745,20.454,10711.102,7217.346,0.925,2.637,9.413,-33.294,9.414,-33.294,19.237,0.828
70816,19.837,3252.071,7221.467,0.954,2.045,9.909,-33.293,9.909,-33.293,18.675,0.523
70979,15.375,16438.053,7032.034,0.999,2.463,9.033,-33.303,9.033,-33.304,14.732,0.436
71007,19.300,10755.370,7228.981,0.888,2.028,9.410,-33.293,9.411,-33.293,18.810,0.660
71028,16.816,13834.472,7104.979,0.974,2.109,9.206,-33.300,9.206,-33.300,16.480,0.568
71046,20.621,14817.206,7264.419,0.982,1.933,9.140,-33.291,9.141,-33.291,18.929,0.564
71054,20.534,4378.583,7248.315,0.918,2.026,9.834,-33.292,9.834,-33.292,19.874,0.581
71092,13.752,4844.962,6922.426,0.980,5.163,9.803,-33.310,9.803,-33.310,12.961,0.579
71136,15.101,10622.397,7008.901,0.998,2.635,9.419,-33.306,9.419,-33.306,14.295,0.583
71169,19.530,4767.418,7253.312,0.914,2.053,9.808,-33.292,9.809,-33.292,18.150,0.560
71230,18.234,2765.300,6863.278,0.854,97.784,9.942,-33.313,9.942,-33.313,19.461,0.548
71250,21.343,13763.855,7285.756,0.977,1.902,9.210,-33.290,9.211,-33.290,19.452,0.568
71275,19.456,5757.323,7264.794,0.925,2.044,9.743,-33.291,9.743,-33.291,18.608,0.474
71283,21.340,12072.150,7293.620,0.975,1.947,9.323,-33.290,9.323,-33.290,19.554,0.697
71404,22.658,13692.080,7326.154,0.975,1.745,9.215,-33.288,9.215,-33.288,19.515,0.557
71494,19.311,10317.715,7294.716,0.977,1.980,9.440,-33.290,9.440,-33.290,18.847,0.553
71549,13.284,14746.743,6793.401,0.866,6.714,9.145,-33.317,9.145,-33.317,12.392,0.444
71552,20.024,9813.237,7310.488,0.959,1.957,9.473,-33.289,9.473,-33.289,19.188,0.443
71664,19.702,2959.880,7321.157,0.976,2.038,9.929,-33.288,9.929,-33.288,17.982,0.596
71747,20.207,7420.218,7331.684,0.939,2.068,9.632,-33.288,9.632,-33.288,19.662,0.488
71757,19.308,9112.820,7312.044,0.981,2.038,9.520,-33.289,9.520,-33.289,18.347,0.457
71781,13.192,2807.620,6823.977,0.859,7.151,9.939,-33.315,9.939,-33.315,12.351,0.489
71861,15.730,7016.936,7139.730,0.999,2.147,9.659,-33.298,9.659,-33.298,14.223,0.386
71888,19.398,4984.977,7312.310,0.913,2.100,9.794,-33.288,9.794,-33.288,18.052,0.529
71984,19.161,15248.485,7310.350,0.976,2.247,9.112,-33.288,9.112,-33.288,18.368,0.523
72038,21.315,13447.045,7384.188,0.980,1.877,9.232,-33.284,9.232,-33.285,19.301,0.574
72111,14.991,15364.258,7089.293,0.997,2.771,9.104,-33.300,9.104,-33.301,14.221,0.518
72162,21.414,1789.908,7401.957,0.980,2.038,10.006,-33.283,10.006,-33.283,19.176,0.386
72163,20.689,12399.171,7390.378,0.980,1.924,9.301,-33.284,9.301,-33.284,19.942,0.646
72243,17.991,3325.126,7342.044,0.853,2.201,9.904,-33.286,9.904,-33.286,16.922,0.595
72373,16.517,6672.002,7201.003,0.853,2.160,9.682,-33.295,9.682,-33.295,15.151,0.488
72688,19.168,3061.722,7415.319,0.912,2.066,9.922,-33.282,9.922,-33.282,18.675,0.519
72749,19.768,11349.700,7439.838,0.990,1.934,9.371,-33.282,9.371,-33.282,18.263,0.730
72783,19.778,16348.062,7409.762,0.905,2.143,9.039,-33.282,9.039,-33.283,18.380,0.438
72840,16.285,15282.366,7298.833,0.941,2.262,9.110,-33.289,9.110,-33.289,15.119,0.516
72944,17.476,3341.171,7404.110,0.931,2.124,9.903,-33.283,9.903,-33.283,16.507,0.535
72976,19.346,6764.244,7471.816,0.919,2.030,9.676,-33.280,9.676,-33.280,17.509,0.532
73129,17.919,12033.883,7417.649,0.887,2.056,9.325,-33.283,9.326,-33.283,17.162,0.717
73135,18.576,6221.828,7467.802,0.942,2.073,9.712,-33.280,9.712,-33.280,17.001,0.504
73356,16.774,12537.048,7374.256,0.888,2.110,9.292,-33.285,9.292,-33.285,16.249,0.643
73543,21.047,9366.858,7566.115,0.981,1.975,9.503,-33.275,9.503,-33.275,19.314,0.467
73644,19.559,1869.998,7553.444,0.906,2.063,10.001,-33.274,10.001,-33.274,17.693,0.497
73770,18.873,15697.958,7547.855,0.863,2.224,9.082,-33.275,9.082,-33.275,18.437,0.513
