NUMBER,MAG_AUTO,X_IMAGE,Y_IMAGE,CLASS_STAR,FLUX_RADIUS,RA_deg,Dec_deg,GAIA_RA,GAIA_Dec,GAIA_Gmag,GAIA_StarProb,Separation_arcsec
16489,18.860,3756.168,10983.440,0.942,2.069,9.875,-33.084,9.875,-33.084,18.791,1.000,0.603
16517,19.705,9684.598,10985.501,0.968,1.977,9.482,-33.085,9.482,-33.085,19.625,1.000,0.322
16555,14.820,6136.177,11226.758,0.985,3.181,9.717,-33.071,9.717,-33.071,14.559,1.000,0.452
16596,21.217,1679.505,11017.767,0.977,1.948,10.012,-33.082,10.013,-33.082,20.954,0.999,0.486
16608,21.118,2227.035,11024.574,0.977,1.865,9.976,-33.082,9.976,-33.082,20.219,1.000,0.487
16616,16.949,11935.714,11101.678,0.889,2.120,9.332,-33.078,9.332,-33.078,16.968,1.000,0.351
16639,16.252,6140.523,11121.573,0.921,2.317,9.717,-33.077,9.717,-33.077,16.303,1.000,0.489
16649,16.181,14997.620,11182.662,0.992,2.011,9.129,-33.073,9.129,-33.073,16.201,1.000,0.456
16692,18.526,10148.319,11110.911,0.939,2.013,9.451,-33.078,9.451,-33.078,18.027,1.000,0.293
16702,21.497,16622.131,11078.501,0.982,2.079,9.022,-33.079,9.022,-33.079,20.527,1.000,0.467
16705,21.299,13518.491,11083.007,0.982,1.880,9.227,-33.079,9.228,-33.079,20.849,1.000,0.460
16713,19.783,10781.874,11099.729,0.995,1.944,9.409,-33.078,9.409,-33.078,19.195,1.000,0.315
16722,17.179,14206.347,11159.833,0.957,2.096,9.182,-33.075,9.182,-33.075,17.135,1.000,0.446
16728,17.608,1915.660,11147.955,0.941,2.103,9.997,-33.075,9.997,-33.075,17.598,1.000,0.504
16735,18.932,2544.807,11129.250,0.972,2.052,9.955,-33.076,9.955,-33.076,18.921,1.000,0.552
16746,20.037,7685.222,11118.160,0.982,1.983,9.614,-33.077,9.614,-33.077,19.907,1.000,0.528
16749,20.373,15865.648,11118.593,0.981,2.012,9.072,-33.077,9.072,-33.077,20.289,1.000,0.462
16759,21.730,4823.199,11115.334,0.976,1.968,9.804,-33.077,9.804,-33.077,20.719,1.000,0.556
16764,15.563,12720.329,11298.277,0.995,2.196,9.280,-33.067,9.280,-33.067,15.496,1.000,0.393
16793,16.156,12603.028,11271.123,0.872,2.228,9.288,-33.069,9.288,-33.069,16.097,0.999,0.381
16818,21.250,4917.001,11149.480,0.980,1.969,9.798,-33.075,9.798,-33.075,20.868,1.000,0.578
16840,13.073,4941.692,11513.639,0.845,7.870,9.796,-33.055,9.796,-33.055,12.583,1.000,0.494
16856,20.842,14048.447,11179.289,0.980,1.954,9.192,-33.074,9.192,-33.074,20.807,0.998,0.486
16866,20.192,10038.984,11184.380,0.984,1.960,9.458,-33.074,9.458,-33.074,20.099,1.000,0.294
16867,21.465,6177.570,11173.177,0.975,2.711,9.714,-33.074,9.714,-33.074,20.714,1.000,0.480
16870,19.450,10317.850,11200.673,0.980,1.944,9.440,-33.073,9.440,-33.073,18.747,1.000,0.287
16877,18.370,10960.553,11242.255,0.914,2.046,9.397,-33.070,9.397,-33.070,18.337,1.000,0.315
16878,20.382,6799.624,11189.656,0.981,1.929,9.673,-33.073,9.673,-33.073,19.969,1.000,0.462
16881,19.767,2288.663,11201.971,0.986,1.963,9.972,-33.072,9.972,-33.072,19.204,1.000,0.538
16890,19.154,10422.102,11217.857,0.959,2.006,9.433,-33.072,9.433,-33.072,19.129,1.000,0.316
16926,20.879,4066.018,11219.334,0.981,1.920,9.854,-33.071,9.854,-33.071,20.220,1.000,0.598
16949,20.933,16371.471,11231.799,0.983,1.988,9.038,-33.070,9.038,-33.070,20.448,1.000,0.449
16975,20.896,15642.015,11259.366,0.980,1.986,9.087,-33.069,9.087,-33.069,20.532,1.000,0.456
17015,18.940,12815.244,11310.369,0.976,2.002,9.274,-33.066,9.274,-33.066,18.340,0.999,0.401
17019,21.538,11377.993,11285.035,0.973,1.825,9.369,-33.068,9.369,-33.068,21.151,0.999,0.370
17020,18.910,10130.627,11318.810,0.981,1.995,9.452,-33.066,9.452,-33.066,17.916,1.000,0.423
17044,20.569,7848.480,11315.253,0.979,2.026,9.603,-33.066,9.604,-33.066,20.511,1.000,0.550
17063,13.659,13345.482,11705.310,0.856,5.339,9.239,-33.044,9.239,-33.044,13.344,1.000,0.443
17077,21.125,4131.621,11325.920,0.977,1.955,9.850,-33.065,9.850,-33.065,20.699,1.000,0.564
17096,13.213,13391.825,11739.823,0.845,6.765,9.236,-33.042,9.236,-33.043,12.787,1.000,0.549
17121,21.576,12463.377,11348.906,0.978,1.899,9.297,-33.064,9.298,-33.064,20.940,0.999,0.369
17126,20.269,8388.008,11366.085,0.980,1.958,9.568,-33.064,9.568,-33.064,20.192,1.000,0.548
17133,17.280,5994.887,11418.321,0.946,2.126,9.726,-33.060,9.726,-33.061,17.293,1.000,0.484
17173,15.688,8925.315,11563.484,0.947,2.256,9.532,-33.053,9.532,-33.053,15.609,1.000,0.515
17175,15.679,13890.446,11568.614,0.988,2.264,9.203,-33.052,9.203,-33.052,15.668,1.000,0.461
17180,18.636,10826.926,11428.683,0.952,1.997,9.406,-33.060,9.406,-33.060,18.592,1.000,0.327
17181,19.960,12746.998,11406.145,0.982,1.983,9.279,-33.061,9.279,-33.061,19.872,1.000,0.373
17195,20.699,16483.025,11406.125,0.964,2.258,9.031,-33.060,9.031,-33.060,20.832,0.991,0.465
17219,21.586,5578.768,11413.930,0.977,1.966,9.754,-33.061,9.754,-33.061,21.140,0.999,0.507
17251,19.098,7789.347,11469.078,0.960,2.043,9.607,-33.058,9.607,-33.058,18.935,1.000,0.513
17257,20.271,10759.954,11459.908,0.981,1.905,9.410,-33.058,9.410,-33.058,19.428,1.000,0.343
17259,16.079,13180.862,11595.289,0.932,2.036,9.250,-33.051,9.250,-33.051,16.176,1.000,0.423
17261,19.885,8517.559,11461.087,0.981,1.975,9.559,-33.058,9.559,-33.058,19.803,1.000,0.531
17271,20.908,4572.785,11457.955,0.978,1.930,9.820,-33.058,9.821,-33.058,20.335,1.000,0.559
17280,14.123,3450.265,11704.402,0.979,4.473,9.895,-33.044,9.895,-33.044,13.787,1.000,0.632
17292,16.432,3521.106,11558.025,0.864,2.197,9.890,-33.052,9.890,-33.052,16.482,1.000,0.626
17297,17.297,11002.222,11539.589,0.998,2.068,9.394,-33.054,9.394,-33.054,17.108,1.000,0.313
17305,18.700,5467.398,11508.594,0.964,2.047,9.761,-33.055,9.761,-33.055,18.646,1.000,0.485
17313,19.252,14981.925,11499.758,0.977,2.032,9.131,-33.056,9.131,-33.056,18.882,1.000,0.437
17355,16.359,7550.504,11598.411,0.852,2.270,9.623,-33.051,9.623,-33.051,16.341,1.000,0.512
17360,20.126,13806.764,11511.828,0.981,1.964,9.208,-33.055,9.209,-33.055,20.010,1.000,0.457
17371,19.866,8167.653,11520.147,0.980,2.004,9.582,-33.055,9.582,-33.055,19.260,1.000,0.498
17374,18.945,12837.281,11537.910,0.948,2.047,9.273,-33.054,9.273,-33.054,18.880,1.000,0.390
17393,17.992,9821.523,11563.409,0.902,2.041,9.473,-33.053,9.473,-33.053,17.955,1.000,0.302
17397,19.623,17157.027,11535.702,0.969,2.179,8.986,-33.053,8.986,-33.053,19.406,1.000,0.235
17412,19.611,9728.136,11550.995,0.983,1.961,9.479,-33.053,9.479,-33.053,18.409,1.000,0.298
17418,20.736,4326.661,11536.532,0.980,1.971,9.837,-33.054,9.837,-33.054,20.048,1.000,0.606
17440,19.728,16419.940,11560.881,0.979,2.127,9.035,-33.052,9.035,-33.052,19.142,1.000,0.423
17448,18.189,6789.054,11587.934,0.955,2.044,9.674,-33.051,9.674,-33.051,18.154,1.000,0.453
17475,17.741,13180.240,11609.817,0.858,2.355,9.250,-33.050,9.250,-33.050,17.836,1.000,0.399
17509,20.456,16525.717,11598.946,0.968,2.264,9.028,-33.050,9.028,-33.050,20.453,0.993,0.548
17511,21.464,12792.869,11592.586,0.968,1.886,9.276,-33.051,9.276,-33.051,20.969,0.999,0.414
17535,18.641,13815.329,11640.723,0.960,2.047,9.208,-33.048,9.208,-33.048,18.579,1.000,0.452
17539,19.457,16575.769,11725.393,0.959,2.155,9.025,-33.043,9.025,-33.043,19.234,1.000,0.461
17547,21.317,6867.520,11616.640,0.975,1.889,9.668,-33.049,9.668,-33.050,20.238,1.000,0.450
17556,14.378,4573.050,11913.456,0.983,3.827,9.820,-33.033,9.821,-33.033,14.106,1.000,0.527
17566,17.874,13810.201,11678.121,0.862,2.143,9.208,-33.046,9.208,-33.046,17.866,1.000,0.456
17569,21.571,15038.051,11629.557,0.977,1.919,9.127,-33.048,9.127,-33.048,20.549,1.000,0.480
17589,21.034,6951.301,11644.767,0.980,1.924,9.663,-33.048,9.663,-33.048,20.398,1.000,0.446
17622,17.134,8902.935,11724.077,0.919,2.100,9.533,-33.044,9.534,-33.044,16.949,1.000,0.499
17627,21.251,1520.490,11660.395,0.981,1.876,10.023,-33.046,10.023,-33.046,20.469,1.000,0.498
17630,18.834,11599.948,11695.602,0.954,2.034,9.355,-33.045,9.355,-33.045,18.792,1.000,0.336
17634,20.346,6539.523,11675.429,0.979,2.015,9.690,-33.046,9.690,-33.046,19.628,1.000,0.398
17644,18.025,1730.676,11713.116,0.906,2.109,10.009,-33.043,10.009,-33.043,17.634,1.000,0.449
17647,18.982,5548.583,11696.530,0.958,2.025,9.756,-33.045,9.756,-33.045,18.484,1.000,0.460
17653,22.128,12899.983,11671.523,0.968,1.862,9.269,-33.046,9.269,-33.046,21.239,0.999,0.407
17672,14.329,6340.157,11918.379,0.978,4.071,9.703,-33.033,9.703,-33.033,13.993,1.000,0.432
17681,20.870,12603.920,11690.061,0.979,1.922,9.288,-33.045,9.288,-33.045,20.365,1.000,0.400
17690,20.816,2572.999,11699.851,0.983,1.943,9.953,-33.044,9.953,-33.044,20.352,1.000,0.556
17696,19.161,17070.268,11722.897,0.917,2.241,8.992,-33.043,8.992,-33.043,19.098,1.000,0.504
17703,21.427,4217.043,11700.560,0.978,1.952,9.844,-33.044,9.844,-33.045,20.801,0.999,0.583
17715,20.425,14465.668,11711.966,0.990,1.956,9.165,-33.044,9.165,-33.044,19.778,1.000,0.437
17717,20.923,4955.828,11712.592,0.975,2.151,9.795,-33.044,9.795,-33.044,20.897,0.998,0.469
17795,16.270,17151.059,11887.444,0.985,2.350,8.987,-33.033,8.987,-33.034,16.287,1.000,0.483
17797,19.295,16572.104,11781.639,0.952,2.161,9.025,-33.040,9.025,-33.040,19.185,1.000,0.474
17805,17.969,7121.142,11810.198,0.906,2.147,9.652,-33.039,9.652,-33.039,17.948,1.000,0.489
17820,18.660,11229.128,11806.607,0.942,1.986,9.379,-33.039,9.379,-33.039,18.657,1.000,0.346
17835,20.264,7542.065,11790.193,0.980,1.983,9.624,-33.040,9.624,-33.040,20.166,1.000,0.502
17854,18.843,3585.920,11821.382,0.954,2.031,9.886,-33.038,9.886,-33.038,18.731,1.000,0.472
17864,19.900,4215.174,11807.928,0.984,2.002,9.844,-33.039,9.844,-33.039,19.794,1.000,0.581
17869,20.755,15015.463,11809.274,0.982,2.016,9.128,-33.038,9.128,-33.038,20.676,1.000,0.468
