NUMBER,MAG_AUTO,X_IMAGE,Y_IMAGE,CLASS_STAR,FLUX_RADIUS,RA_deg,Dec_deg,GAIA_RA,GAIA_Dec,GAIA_Gmag,GAIA_StarProb,Separation_arcsec
3,12.007,16371.092,366.892,0.845,13.421,9.035,-33.674,9.035,-33.673,11.594,1.000,0.959
5,13.728,13697.150,158.460,0.940,5.031,9.214,-33.686,9.214,-33.686,13.400,1.000,0.600
7,15.046,14358.342,162.818,0.997,2.609,9.169,-33.685,9.170,-33.686,15.020,1.000,0.545
8,16.081,11497.345,159.053,0.988,2.250,9.360,-33.686,9.361,-33.686,16.053,1.000,0.748
9,14.540,10922.440,102.807,0.980,3.292,9.399,-33.689,9.399,-33.689,14.297,1.000,0.636
13,16.177,5956.615,90.214,0.989,2.196,9.730,-33.690,9.730,-33.690,16.187,1.000,0.104
19,20.213,8674.247,44.551,0.978,2.037,9.549,-33.692,9.549,-33.692,19.913,1.000,0.104
21,17.077,13147.641,21.401,0.977,2.200,9.250,-33.694,9.250,-33.694,16.556,0.998,0.651
22,20.086,12248.341,29.710,0.985,2.044,9.310,-33.693,9.311,-33.693,19.983,1.000,0.834
49,18.846,12992.506,67.117,0.943,2.217,9.261,-33.691,9.261,-33.691,18.534,1.000,0.700
83,18.474,6343.283,104.807,0.909,2.150,9.705,-33.689,9.705,-33.689,18.394,1.000,0.108
102,19.782,5942.304,111.739,0.921,2.727,9.731,-33.689,9.731,-33.689,19.999,1.000,0.134
131,19.671,10716.096,113.074,0.975,2.118,9.413,-33.689,9.413,-33.689,19.381,1.000,0.556
140,17.874,12349.842,143.144,0.915,2.181,9.304,-33.687,9.304,-33.687,17.890,1.000,0.806
141,20.872,10495.081,102.273,0.982,2.002,9.427,-33.689,9.428,-33.689,20.147,1.000,0.518
148,19.371,7417.632,126.150,0.952,2.136,9.633,-33.688,9.633,-33.688,19.333,1.000,0.315
168,20.933,1773.538,117.846,0.982,1.999,10.010,-33.687,10.010,-33.688,20.879,0.996,0.465
210,19.312,11377.929,161.895,0.978,2.121,9.368,-33.686,9.369,-33.686,19.293,1.000,0.771
216,19.535,1921.601,162.682,0.968,2.092,10.000,-33.685,10.000,-33.685,19.461,1.000,0.450
256,20.999,4046.073,176.950,0.957,2.313,9.858,-33.685,9.858,-33.685,20.653,1.000,0.344
277,15.504,11241.955,370.738,0.998,2.355,9.378,-33.674,9.378,-33.674,15.523,1.000,0.645
279,21.063,6727.571,184.998,0.951,2.374,9.679,-33.685,9.679,-33.685,21.024,0.999,0.263
286,20.262,10967.634,205.776,0.981,2.103,9.396,-33.683,9.396,-33.684,20.106,1.000,0.611
315,17.496,2633.057,260.923,0.944,2.208,9.952,-33.680,9.952,-33.680,17.332,1.000,0.359
336,18.776,14596.658,246.359,0.985,2.226,9.154,-33.681,9.154,-33.681,18.757,1.000,0.528
348,17.669,13057.940,276.685,0.952,2.185,9.256,-33.679,9.256,-33.679,17.150,0.999,0.669
362,19.945,13409.446,250.382,0.981,2.095,9.233,-33.681,9.233,-33.681,19.098,1.000,0.638
388,19.554,13237.165,275.836,0.974,2.187,9.244,-33.679,9.244,-33.679,19.502,1.000,0.623
389,19.634,15532.989,273.281,0.949,2.255,9.091,-33.679,9.091,-33.679,19.288,1.000,0.494
408,19.512,14047.332,290.509,0.900,2.284,9.190,-33.678,9.190,-33.679,19.525,1.000,0.583
463,19.741,6223.850,320.125,0.981,2.023,9.713,-33.677,9.713,-33.677,18.916,1.000,0.127
464,21.120,4041.733,308.432,0.984,1.963,9.858,-33.677,9.858,-33.677,20.743,1.000,0.318
468,19.956,13451.207,318.827,0.980,2.102,9.230,-33.677,9.230,-33.677,19.366,1.000,0.591
479,17.400,10914.994,373.719,0.940,2.189,9.399,-33.674,9.400,-33.674,17.380,1.000,0.530
480,20.379,14810.766,326.598,0.973,2.263,9.139,-33.676,9.139,-33.676,20.795,0.999,0.438
510,19.574,14099.072,353.176,0.965,2.168,9.187,-33.675,9.187,-33.675,19.533,1.000,0.477
523,16.311,13079.954,461.046,0.920,2.251,9.255,-33.669,9.255,-33.669,16.357,1.000,0.602
524,19.007,16189.932,371.437,0.895,2.314,9.047,-33.673,9.047,-33.674,18.711,1.000,0.416
563,17.684,14254.044,429.301,0.904,2.245,9.176,-33.671,9.177,-33.671,17.608,1.000,0.524
638,15.830,5718.744,582.442,0.959,2.303,9.746,-33.662,9.746,-33.662,15.850,1.000,0.129
647,19.896,15780.081,436.774,0.972,2.231,9.075,-33.670,9.075,-33.670,19.717,1.000,0.445
656,20.361,7960.773,437.702,0.982,2.083,9.597,-33.671,9.597,-33.671,20.251,1.000,0.245
668,14.034,14345.779,703.539,0.981,4.024,9.170,-33.655,9.171,-33.655,13.746,1.000,0.451
677,20.569,8087.494,452.165,0.982,2.032,9.588,-33.670,9.588,-33.670,20.342,1.000,0.229
681,21.022,13630.453,448.207,0.982,2.064,9.218,-33.670,9.218,-33.670,20.670,1.000,0.572
689,20.300,6748.586,461.756,0.983,2.066,9.677,-33.669,9.678,-33.669,20.223,1.000,0.166
710,19.378,4581.572,494.054,0.914,2.198,9.822,-33.667,9.822,-33.667,19.409,1.000,0.255
763,17.374,6477.321,555.751,0.998,2.144,9.696,-33.664,9.696,-33.664,17.051,0.999,0.121
766,20.671,13527.111,511.031,0.984,2.085,9.225,-33.666,9.225,-33.666,20.203,1.000,0.523
770,15.313,5523.774,712.299,0.998,2.584,9.759,-33.655,9.759,-33.655,15.275,1.000,0.147
774,16.317,14108.854,640.523,0.996,2.268,9.186,-33.659,9.186,-33.659,16.359,1.000,0.474
781,17.989,14453.325,566.671,0.866,2.258,9.163,-33.663,9.163,-33.663,17.841,1.000,0.443
783,19.236,10136.461,539.718,0.965,2.093,9.451,-33.665,9.451,-33.665,19.181,1.000,0.212
789,14.893,1940.896,733.457,0.990,2.895,9.998,-33.653,9.998,-33.653,14.881,1.000,0.451
804,20.184,2866.060,540.925,0.980,2.101,9.937,-33.664,9.937,-33.664,20.145,1.000,0.435
829,20.045,16987.160,558.732,0.969,2.247,8.994,-33.663,8.994,-33.663,19.286,1.000,0.298
834,20.465,13874.985,561.831,0.980,2.152,9.202,-33.663,9.202,-33.663,20.385,0.989,0.500
891,21.131,13769.445,589.937,0.983,2.066,9.209,-33.662,9.209,-33.662,20.895,1.000,0.529
910,11.764,3117.440,1169.152,0.845,19.180,9.920,-33.629,9.920,-33.629,11.450,1.000,0.948
915,18.169,8400.014,642.539,0.955,2.137,9.567,-33.659,9.567,-33.659,18.135,1.000,0.154
916,17.192,10001.862,668.435,0.951,2.141,9.460,-33.658,9.460,-33.658,17.093,1.000,0.179
917,16.985,6722.945,674.998,0.905,2.190,9.679,-33.657,9.679,-33.657,17.009,1.000,0.185
922,18.277,12905.700,644.929,0.949,2.152,9.267,-33.659,9.267,-33.659,17.526,0.998,0.492
924,15.833,10864.449,787.944,0.992,2.241,9.403,-33.651,9.403,-33.651,15.832,1.000,0.375
928,20.747,9700.837,616.058,0.984,2.004,9.480,-33.661,9.480,-33.661,20.380,1.000,0.175
940,18.028,6666.930,672.960,0.903,2.180,9.683,-33.657,9.683,-33.657,18.007,1.000,0.190
942,20.690,8539.916,625.096,0.981,2.008,9.558,-33.660,9.558,-33.660,20.022,1.000,0.115
945,16.971,14499.036,688.992,0.873,2.302,9.160,-33.656,9.160,-33.656,16.992,1.000,0.472
952,20.435,13371.718,634.122,0.981,2.079,9.235,-33.659,9.236,-33.660,20.339,1.000,0.544
967,19.077,13028.877,656.935,0.973,2.144,9.258,-33.658,9.258,-33.658,19.065,1.000,0.569
984,15.586,5614.460,828.984,0.958,2.421,9.753,-33.649,9.753,-33.649,15.592,1.000,0.164
1003,21.055,4360.922,659.566,0.983,2.032,9.837,-33.658,9.837,-33.658,20.942,0.986,0.319
1013,19.782,6890.487,674.715,0.977,2.062,9.668,-33.657,9.668,-33.657,19.449,1.000,0.224
1028,18.991,6798.001,697.488,0.944,2.082,9.674,-33.656,9.674,-33.656,18.853,1.000,0.205
1044,20.916,15962.352,686.047,0.984,2.204,9.063,-33.656,9.063,-33.656,20.863,0.995,0.401
1053,17.913,14912.017,734.180,0.885,2.260,9.133,-33.654,9.133,-33.654,17.698,1.000,0.438
1079,20.738,8295.560,705.096,0.981,2.107,9.574,-33.656,9.574,-33.656,20.657,0.999,0.146
1099,18.351,12670.827,749.992,0.935,2.178,9.282,-33.653,9.282,-33.653,18.348,1.000,0.553
1104,20.598,8852.692,720.576,0.972,2.023,9.537,-33.655,9.537,-33.655,19.820,1.000,0.105
1131,19.391,8070.949,751.176,0.917,2.172,9.589,-33.653,9.589,-33.653,18.982,1.000,0.257
1135,19.409,4185.169,758.314,0.905,2.747,9.849,-33.652,9.849,-33.652,19.216,1.000,0.225
1149,18.871,14356.469,773.746,0.900,2.222,9.170,-33.652,9.170,-33.652,18.731,1.000,0.490
1188,15.586,10382.388,936.086,0.998,2.238,9.435,-33.643,9.435,-33.643,15.491,0.998,0.162
1191,14.658,8648.478,984.316,0.980,3.187,9.551,-33.640,9.551,-33.640,14.738,1.000,0.148
1198,21.219,7784.963,764.995,0.981,2.008,9.608,-33.652,9.608,-33.652,21.066,0.998,0.260
1201,20.112,2855.229,778.696,0.982,2.048,9.937,-33.651,9.937,-33.651,19.281,1.000,0.455
1206,20.484,12497.202,781.605,0.981,2.057,9.294,-33.651,9.294,-33.651,20.401,1.000,0.605
1241,20.397,3640.234,804.187,0.985,2.060,9.885,-33.650,9.885,-33.650,20.317,0.998,0.419
1261,21.003,12899.080,812.049,0.985,2.045,9.267,-33.650,9.267,-33.650,20.900,1.000,0.526
1281,20.608,10732.345,823.183,0.982,2.028,9.412,-33.649,9.412,-33.649,20.515,1.000,0.345
1298,16.650,6899.476,920.813,0.995,2.125,9.667,-33.644,9.667,-33.644,16.664,1.000,0.229
1348,16.603,2011.219,937.431,0.977,2.152,9.994,-33.642,9.994,-33.642,16.647,1.000,0.449
1353,19.658,12915.963,878.645,0.976,2.036,9.266,-33.646,9.266,-33.646,19.598,1.000,0.537
1357,18.904,7033.397,919.799,0.873,2.185,9.658,-33.644,9.658,-33.644,18.678,1.000,0.242
1365,19.879,2460.945,885.950,0.994,2.118,9.964,-33.645,9.964,-33.645,19.809,1.000,0.479
1371,15.456,13897.724,1052.569,0.988,2.410,9.200,-33.636,9.200,-33.636,15.437,1.000,0.456
1387,15.340,16141.583,1062.702,0.999,2.430,9.051,-33.635,9.051,-33.635,15.048,0.993,0.499
1389,15.032,2013.072,1085.293,0.997,2.709,9.993,-33.634,9.993,-33.634,14.918,1.000,0.504
1416,18.540,9565.913,935.720,0.963,1.993,9.489,-33.643,9.489,-33.643,18.291,1.000,0.099
1461,18.209,3165.855,971.548,0.942,2.090,9.916,-33.640,9.917,-33.640,17.909,1.000,0.511
1487,21.182,1793.882,947.911,0.980,1.952,10.008,-33.641,10.008,-33.641,21.079,0.999,0.516
1501,15.333,1808.076,1146.208,0.998,2.405,10.007,-33.630,10.007,-33.630,15.302,1.000,0.529
1532,17.482,1678.560,1027.204,0.937,2.129,10.016,-33.637,10.016,-33.637,17.303,0.999,0.523
1549,21.065,8544.012,992.253,0.979,1.948,9.558,-33.640,9.558,-33.640,20.607,1.000,0.160
1564,18.805,8537.823,1026.239,0.957,2.030,9.558,-33.638,9.558,-33.638,18.767,1.000,0.162
1578,20.180,10020.494,1019.461,0.978,1.959,9.459,-33.638,9.459,-33.638,20.071,0.995,0.123
1603,17.546,6812.135,1082.246,0.924,2.086,9.673,-33.635,9.673,-33.635,17.538,1.000,0.178
1622,21.107,15773.692,1034.301,0.979,2.070,9.075,-33.637,9.075,-33.637,20.706,1.000,0.450
1668,21.291,14746.170,1073.665,0.961,2.438,9.144,-33.635,9.144,-33.635,20.915,1.000,0.340
1678,20.338,4891.372,1077.505,0.981,1.928,9.801,-33.635,9.801,-33.635,20.275,1.000,0.260
1697,16.317,5644.827,1217.200,0.967,2.038,9.751,-33.627,9.751,-33.627,16.333,1.000,0.176
1705,21.243,15523.454,1081.261,0.982,2.482,9.092,-33.634,9.092,-33.634,20.857,1.000,0.445
1708,15.431,15154.460,1266.382,0.998,2.282,9.117,-33.624,9.117,-33.624,15.377,1.000,0.435
1711,21.497,3547.897,1083.566,0.976,1.957,9.891,-33.634,9.891,-33.634,20.804,1.000,0.477
1717,19.463,11312.070,1112.445,0.979,2.004,9.373,-33.633,9.373,-33.633,19.015,1.000,0.462
1718,19.697,10952.760,1112.147,0.981,1.964,9.397,-33.633,9.397,-33.633,19.077,1.000,0.396
1740,14.725,5567.892,1327.080,0.982,3.400,9.756,-33.621,9.756,-33.621,14.570,1.000,0.189
1748,21.191,9334.105,1113.704,0.979,1.949,9.505,-33.633,9.505,-33.633,20.690,1.000,0.099
1757,21.211,2501.345,1123.364,0.985,2.052,9.961,-33.632,9.961,-33.632,21.111,0.999,0.494
1761,16.524,10699.880,1231.570,0.953,2.075,9.414,-33.627,9.414,-33.627,16.533,1.000,0.261
1772,16.937,6250.166,1200.602,0.971,2.117,9.711,-33.628,9.711,-33.628,16.933,1.000,0.195
1793,19.034,10384.010,1173.202,0.967,2.030,9.435,-33.630,9.435,-33.630,18.924,1.000,0.153
1794,20.803,11871.392,1151.549,0.979,2.031,9.336,-33.631,9.336,-33.631,20.679,1.000,0.580
1799,19.783,9789.560,1166.643,0.980,1.956,9.474,-33.630,9.474,-33.630,19.042,1.000,0.078
1805,20.866,17035.428,1159.159,0.985,2.092,8.991,-33.630,8.991,-33.630,20.770,1.000,0.394
1808,19.752,2328.922,1171.149,0.981,2.054,9.972,-33.629,9.972,-33.629,19.689,1.000,0.512
1813,15.219,15499.101,1349.376,0.998,2.442,9.094,-33.619,9.094,-33.619,15.171,1.000,0.438
1824,21.404,14089.997,1163.503,0.977,1.923,9.188,-33.630,9.188,-33.630,20.620,1.000,0.472
1870,21.111,7891.036,1194.871,0.980,1.923,9.601,-33.629,9.601,-33.629,20.732,1.000,0.288
1873,18.739,2756.633,1227.359,0.951,2.026,9.944,-33.626,9.944,-33.626,18.723,1.000,0.517
1884,21.546,16372.807,1200.525,0.979,2.058,9.035,-33.627,9.035,-33.627,21.082,0.999,0.396
1890,19.817,15913.875,1218.561,0.977,2.085,9.066,-33.626,9.066,-33.627,19.457,1.000,0.461
1906,20.026,7056.975,1225.009,0.986,2.018,9.657,-33.627,9.657,-33.627,19.981,1.000,0.250
1909,17.684,5018.615,1262.566,0.999,2.089,9.793,-33.624,9.793,-33.625,17.426,0.999,0.300
1913,20.917,6416.697,1216.965,0.981,1.972,9.700,-33.627,9.700,-33.627,20.758,1.000,0.207
1915,20.694,15300.690,1222.940,0.991,2.096,9.107,-33.626,9.107,-33.626,20.310,1.000,0.455
1920,18.060,8282.552,1262.663,0.948,2.052,9.575,-33.625,9.575,-33.625,18.046,1.000,0.227
1937,17.311,1903.665,1283.592,0.952,2.116,10.001,-33.623,10.001,-33.623,17.203,1.000,0.528
1945,14.414,11916.785,1470.879,0.982,3.639,9.333,-33.613,9.333,-33.613,14.115,1.000,0.432
1955,17.869,8252.515,1290.451,0.999,2.054,9.577,-33.623,9.577,-33.623,17.684,1.000,0.246
1985,19.261,13263.990,1295.695,0.966,2.064,9.243,-33.623,9.243,-33.623,18.545,1.000,0.455
1996,13.347,11802.514,1584.120,0.847,6.501,9.340,-33.607,9.340,-33.607,12.950,1.000,0.505
2012,19.893,16786.656,1308.763,0.978,2.178,9.008,-33.621,9.008,-33.621,19.803,1.000,0.386
2016,15.817,12253.160,1451.872,0.999,2.127,9.310,-33.614,9.310,-33.614,15.844,1.000,0.490
2018,19.066,11520.450,1324.994,0.977,1.997,9.359,-33.621,9.359,-33.621,18.423,1.000,0.445
2026,20.988,7518.615,1306.539,0.980,2.068,9.626,-33.622,9.626,-33.622,20.656,1.000,0.271
2028,19.665,2162.512,1317.486,0.967,2.059,9.983,-33.621,9.983,-33.621,19.638,1.000,0.529
2031,14.935,10119.301,1513.177,0.992,2.824,9.452,-33.611,9.453,-33.611,14.745,1.000,0.089
2032,19.125,11774.826,1326.907,0.977,2.024,9.342,-33.621,9.342,-33.621,19.073,1.000,0.398
2039,14.267,6289.998,1549.056,0.983,4.389,9.708,-33.609,9.708,-33.609,14.083,1.000,0.236
2042,20.719,2818.754,1317.883,0.981,1.942,9.940,-33.621,9.940,-33.621,19.773,1.000,0.488
2051,19.948,7158.742,1331.149,0.980,2.011,9.650,-33.621,9.650,-33.621,19.729,1.000,0.276
2060,16.108,3697.350,1459.823,0.982,2.015,9.881,-33.613,9.881,-33.613,16.053,1.000,0.457
2096,20.893,1982.257,1350.658,0.980,1.982,9.995,-33.619,9.995,-33.619,19.914,1.000,0.565
2120,17.434,2332.251,1407.952,0.956,2.142,9.972,-33.616,9.972,-33.616,17.467,1.000,0.550
2124,15.189,12547.838,1559.535,0.998,2.550,9.291,-33.608,9.291,-33.608,15.002,1.000,0.449
2129,20.922,2504.715,1374.065,0.981,2.055,9.960,-33.618,9.961,-33.618,20.775,0.999,0.545
2144,21.502,14910.908,1388.034,0.951,2.402,9.133,-33.617,9.133,-33.617,21.142,1.000,0.384
2145,21.274,9978.489,1380.852,0.977,1.887,9.462,-33.618,9.462,-33.618,20.831,1.000,0.090
2147,18.318,1879.913,1414.164,0.948,2.152,10.002,-33.615,10.002,-33.616,18.100,1.000,0.538
2155,16.325,15740.911,1503.799,0.976,2.267,9.078,-33.611,9.078,-33.611,16.372,1.000,0.446
2166,19.163,1901.434,1418.591,0.967,2.121,10.001,-33.615,10.001,-33.615,19.149,1.000,0.529
2183,21.039,7101.584,1407.316,0.984,2.032,9.654,-33.617,9.654,-33.617,20.252,1.000,0.240
2185,19.301,6151.445,1427.797,0.964,2.048,9.717,-33.615,9.717,-33.615,18.801,1.000,0.221
2191,21.019,8708.513,1414.296,0.979,1.938,9.547,-33.616,9.547,-33.616,20.411,1.000,0.160
2196,14.627,10393.538,1637.044,0.983,3.301,9.434,-33.604,9.434,-33.604,14.321,1.000,0.148
2198,18.448,16872.715,1448.388,0.987,2.233,9.002,-33.613,9.002,-33.614,18.315,1.000,0.420
2204,21.423,2099.631,1417.179,0.978,1.940,9.987,-33.615,9.988,-33.615,20.920,1.000,0.541
2215,19.906,8324.762,1438.196,0.981,2.029,9.572,-33.615,9.572,-33.615,19.754,1.000,0.246
2238,20.511,5241.257,1449.135,0.982,1.991,9.778,-33.614,9.778,-33.614,20.345,1.000,0.231
2273,15.762,2593.094,1623.886,0.995,2.139,9.955,-33.604,9.955,-33.604,15.527,0.999,0.549
2284,21.682,7445.240,1471.706,0.974,1.911,9.631,-33.613,9.631,-33.613,21.153,1.000,0.318
2300,20.143,10399.245,1494.941,0.986,1.966,9.434,-33.612,9.434,-33.612,19.597,1.000,0.172
2302,15.822,1903.242,1637.758,0.997,2.159,10.001,-33.603,10.001,-33.603,15.853,1.000,0.526
2306,21.020,11583.472,1496.970,0.980,1.990,9.355,-33.612,9.355,-33.612,20.842,1.000,0.443
2311,18.780,10822.147,1518.161,0.967,2.046,9.406,-33.611,9.406,-33.611,18.754,1.000,0.288
2314,18.061,2126.031,1533.467,0.927,2.156,9.986,-33.609,9.986,-33.609,18.033,1.000,0.540
2317,18.585,5810.631,1527.253,0.960,2.083,9.740,-33.610,9.740,-33.610,18.556,1.000,0.187
2325,20.256,16858.055,1510.914,0.967,2.235,9.003,-33.610,9.003,-33.610,20.211,1.000,0.425
2334,15.159,2214.885,1704.648,0.998,2.626,9.980,-33.599,9.980,-33.599,15.120,1.000,0.564
2361,20.930,3757.288,1529.997,0.981,1.975,9.877,-33.609,9.877,-33.610,20.314,1.000,0.444
2366,16.535,2260.747,1623.617,0.969,2.188,9.977,-33.604,9.977,-33.604,16.478,1.000,0.501
2461,17.983,7657.549,1637.228,0.856,2.398,9.617,-33.604,9.617,-33.604,17.586,0.999,0.154
2476,15.223,5495.238,1801.772,0.998,2.678,9.761,-33.595,9.761,-33.595,15.180,1.000,0.261
2505,19.327,6932.909,1649.874,0.984,2.003,9.665,-33.603,9.665,-33.603,19.254,1.000,0.238
2542,17.933,3605.211,1698.727,0.930,2.121,9.887,-33.600,9.887,-33.600,17.956,1.000,0.503
2543,19.195,7928.890,1680.497,0.955,2.048,9.599,-33.602,9.599,-33.602,19.174,1.000,0.273
2562,17.902,7153.944,1730.484,0.916,2.145,9.650,-33.599,9.650,-33.599,17.892,1.000,0.268
2607,16.446,13883.555,1822.976,0.925,2.260,9.201,-33.593,9.202,-33.593,16.449,1.000,0.420
2620,19.956,6655.916,1743.750,0.978,2.079,9.684,-33.598,9.684,-33.598,19.930,1.000,0.248
2647,20.974,3289.520,1746.580,0.985,2.042,9.908,-33.597,9.908,-33.597,20.888,0.998,0.559
2669,18.800,13643.965,1786.201,0.964,2.078,9.217,-33.595,9.217,-33.595,18.501,1.000,0.332
2671,21.007,8811.665,1762.556,0.981,1.921,9.540,-33.597,9.540,-33.597,20.936,0.994,0.202
2693,16.092,10452.207,1906.531,0.999,1.984,9.430,-33.589,9.430,-33.589,16.095,1.000,0.167
2704,17.096,12317.181,1840.348,0.971,2.153,9.306,-33.593,9.306,-33.593,17.111,1.000,0.444
2710,20.004,10305.694,1793.915,0.983,1.958,9.440,-33.595,9.440,-33.595,19.295,1.000,0.145
2733,20.071,15689.702,1819.032,0.981,2.145,9.081,-33.593,9.081,-33.593,19.217,1.000,0.485
2738,18.666,2690.403,1844.103,0.936,2.102,9.948,-33.592,9.948,-33.592,18.355,1.000,0.574
2772,20.377,14640.659,1844.797,0.971,2.184,9.151,-33.592,9.151,-33.592,20.056,1.000,0.433
2773,20.853,5880.225,1842.800,0.981,2.014,9.735,-33.592,9.735,-33.592,20.258,1.000,0.241
2794,20.927,9215.168,1868.755,0.980,1.968,9.513,-33.591,9.513,-33.591,19.256,1.000,0.173
2806,19.667,13633.059,1895.410,0.977,2.049,9.218,-33.589,9.218,-33.589,19.648,1.000,0.412
2808,22.314,4610.159,1873.333,0.968,1.916,9.820,-33.590,9.820,-33.591,21.160,0.999,0.349
2814,19.829,16538.018,1906.707,0.966,2.198,9.024,-33.588,9.025,-33.588,19.243,1.000,0.417
2823,20.012,13256.867,1908.704,0.981,2.034,9.243,-33.589,9.243,-33.589,19.674,1.000,0.418
2830,19.890,5920.501,1917.802,0.979,2.065,9.733,-33.588,9.733,-33.588,19.771,1.000,0.232
2834,18.880,13687.948,1927.398,0.964,2.065,9.215,-33.588,9.215,-33.588,18.559,1.000,0.403
2836,18.088,16421.998,1948.006,0.902,2.289,9.032,-33.586,9.032,-33.586,18.124,1.000,0.433
2842,15.761,11039.567,2071.893,0.997,2.096,9.391,-33.580,9.391,-33.580,15.708,1.000,0.318
2843,18.735,3610.552,1942.177,0.953,2.097,9.887,-33.586,9.887,-33.587,18.732,1.000,0.485
2874,19.753,15328.659,1951.791,0.976,2.155,9.105,-33.586,9.105,-33.586,19.720,1.000,0.470
2875,20.523,12460.690,1941.854,0.982,1.996,9.296,-33.587,9.296,-33.587,20.444,1.000,0.455
2877,20.374,17072.035,1947.176,0.937,2.366,8.989,-33.586,8.989,-33.586,20.194,1.000,0.447
2878,21.010,1967.645,1943.255,0.980,1.981,9.996,-33.586,9.996,-33.586,20.262,1.000,0.601
2889,21.311,13744.073,1948.977,0.981,2.066,9.211,-33.586,9.211,-33.586,20.867,0.997,0.412
2898,17.919,10103.660,2016.881,0.892,2.132,9.454,-33.583,9.454,-33.583,17.944,1.000,0.119
2919,20.082,3644.259,1987.264,0.983,2.028,9.884,-33.584,9.884,-33.584,20.017,1.000,0.511
2936,19.899,2949.356,2000.817,0.977,2.060,9.931,-33.583,9.931,-33.583,19.861,1.000,0.601
2960,17.397,5779.639,2054.060,0.943,2.149,9.742,-33.581,9.742,-33.581,17.427,1.000,0.258
2977,19.922,14094.775,2032.341,0.980,2.054,9.187,-33.582,9.188,-33.582,19.267,1.000,0.405
2983,21.147,11599.977,2024.495,0.982,2.087,9.354,-33.582,9.354,-33.583,20.580,1.000,0.493
3023,18.625,10868.266,2080.704,0.968,2.041,9.403,-33.579,9.403,-33.579,18.483,1.000,0.266
3032,18.139,2166.643,2142.779,0.921,2.163,9.983,-33.575,9.983,-33.575,18.125,1.000,0.618
3058,20.949,8363.249,2081.244,0.981,2.013,9.570,-33.579,9.570,-33.579,20.879,0.999,0.304
3063,18.594,3122.375,2118.822,0.926,2.121,9.919,-33.577,9.919,-33.577,18.519,1.000,0.588
3083,19.632,8607.310,2119.938,0.978,1.997,9.553,-33.577,9.553,-33.577,19.130,1.000,0.291
3084,20.464,6734.450,2111.128,0.981,2.014,9.678,-33.578,9.678,-33.578,20.099,1.000,0.291
3098,20.864,8807.331,2117.555,0.981,1.905,9.540,-33.577,9.540,-33.577,20.456,0.999,0.251
3106,16.273,5768.858,2232.926,0.923,2.062,9.743,-33.571,9.743,-33.571,16.289,1.000,0.289
3109,21.354,10380.994,2121.080,0.971,2.235,9.435,-33.577,9.435,-33.577,20.736,1.000,0.164
3118,19.677,5996.574,2145.613,0.921,2.105,9.727,-33.576,9.728,-33.576,19.680,1.000,0.317
3130,21.806,8697.789,2131.701,0.975,1.978,9.547,-33.577,9.547,-33.577,20.919,1.000,0.211
3142,16.769,7112.601,2217.528,0.966,2.205,9.653,-33.572,9.653,-33.572,16.798,1.000,0.293
3156,16.783,5450.109,2251.650,0.960,2.165,9.764,-33.570,9.764,-33.570,16.813,1.000,0.288
3173,22.083,2985.523,2166.999,0.971,1.900,9.928,-33.574,9.928,-33.574,20.766,1.000,0.641
3177,19.186,11442.870,2196.925,0.959,2.108,9.364,-33.573,9.364,-33.573,19.151,1.000,0.420
3180,14.900,7089.104,2387.273,0.989,2.832,9.655,-33.562,9.655,-33.562,14.831,1.000,0.284
3181,19.475,11456.923,2199.816,0.971,2.052,9.363,-33.573,9.363,-33.573,19.428,1.000,0.408
3182,20.609,4682.208,2184.973,0.988,1.996,9.815,-33.573,9.815,-33.573,20.500,1.000,0.336
3186,19.206,7193.632,2204.202,0.973,2.081,9.648,-33.572,9.648,-33.572,19.017,1.000,0.271
3190,16.429,16785.459,2293.112,0.972,2.349,9.008,-33.567,9.008,-33.567,16.469,1.000,0.448
3206,19.688,2578.356,2213.192,0.964,2.076,9.955,-33.571,9.955,-33.571,19.393,1.000,0.667
3213,20.256,15715.169,2212.403,0.978,2.149,9.079,-33.571,9.080,-33.571,20.077,1.000,0.499
3217,20.051,8576.611,2215.669,0.981,1.950,9.555,-33.572,9.555,-33.572,19.473,1.000,0.262
3221,19.258,5293.377,2262.485,0.961,2.058,9.774,-33.569,9.774,-33.569,19.118,1.000,0.289
3228,16.491,15392.899,2330.748,0.973,2.264,9.101,-33.565,9.101,-33.565,16.502,1.000,0.504
3233,20.239,1548.803,2230.715,0.987,2.089,10.024,-33.570,10.024,-33.570,19.895,1.000,0.601
3271,14.323,9054.951,2482.952,0.980,3.860,9.523,-33.557,9.524,-33.557,14.172,0.999,0.222
3286,21.487,2827.625,2258.810,0.977,1.952,9.939,-33.569,9.939,-33.569,21.131,0.999,0.648
3294,20.926,6489.054,2267.376,0.980,1.988,9.695,-33.569,9.695,-33.569,20.862,1.000,0.275
3303,16.958,9622.929,2357.763,0.949,2.118,9.486,-33.564,9.486,-33.564,17.007,1.000,0.141
3317,21.137,3278.544,2286.118,0.980,1.971,9.909,-33.567,9.909,-33.567,,0.995,0.564
3324,17.228,12583.536,2358.664,0.938,2.122,9.288,-33.564,9.288,-33.564,17.270,1.000,0.417
3325,19.322,3724.347,2310.313,0.961,2.053,9.879,-33.566,9.879,-33.566,18.994,1.000,0.512
3335,12.456,16210.671,2773.387,0.845,9.904,9.047,-33.540,9.047,-33.540,12.003,1.000,0.557
